Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Jamie Benn,2016-17,DAL,L,L,77,26,43,69,-9,66,0.90,13,42,12,26,1,1,2,4,201,12.9,19:22,51.5
Joe Pavelski,2016-17,SJS,R,C,81,29,39,68,+11,34,0.84,21,45,7,22,1,1,0,7,233,12.5,19:07,52.5
Henrik Zetterberg,2016-17,DET,L,C,82,17,51,68,+15,22,0.83,15,55,2,13,0,0,0,0,195,8.7,19:43,51.8
Max Pacioretty,2016-17,MTL,L,L,81,35,32,67,+15,38,0.83,26,52,8,13,1,2,2,7,268,13.1,19:11,54.0
Jeff Carter,2016-17,LAK,R,C,82,32,34,66,+2,41,0.80,21,43,10,22,1,1,4,9,250,12.8,18:02,51.9
John Tavares,2016-17,NYI,L,C,77,28,38,66,+4,38,0.86,20,46,7,18,1,2,1,3,260,10.8,20:25,50.6
Eric Staal,2016-17,MIN,L,C,82,28,37,65,+17,34,0.79,23,47,4,16,1,2,0,8,211,13.3,18:36,49.2
Patrik Laine,2016-17,WPG,R,L,73,36,28,64,+7,26,0.88,27,50,9,14,0,0,1,5,204,17.7,17:55,0.0
Nikolaj Ehlers,2016-17,WPG,L,L,82,25,39,64,+1,38,0.78,20,52,5,12,0,0,0,4,204,12.3,17:29,0.0
Jeff Skinner,2016-17,CAR,L,L,79,37,26,63,-3,28,0.80,30,48,7,15,0,0,0,4,281,13.2,17:44,37.0
Cam Atkinson,2016-17,CBJ,R,R,82,35,27,62,+13,22,0.76,22,38,10,21,3,3,3,9,240,14.6,18:05,66.7
James van Riemsdyk,2016-17,TOR,L,L,82,29,33,62,-2,37,0.76,23,43,6,19,0,0,0,5,238,12.2,15:53,20.0
Nazem Kadri,2016-17,TOR,L,C,82,32,29,61,-7,95,0.74,20,44,12,17,0,0,2,6,236,13.6,16:35,48.0
Viktor Arvidsson,2016-17,NSH,R,R,80,31,30,61,+16,28,0.76,22,45,4,9,5,7,1,6,246,12.6,17:09,25.0
Mike Hoffman,2016-17,OTT,L,C,74,26,35,61,+17,51,0.82,13,35,13,26,0,0,1,8,224,11.6,17:36,57.1
William Nylander,2016-17,TOR,R,R,81,22,39,61,-3,32,0.75,13,35,9,26,0,0,0,2,205,10.7,16:01,40.2
Jakub Voracek,2016-17,PHI,L,R,82,20,41,61,-24,56,0.74,15,38,5,23,0,0,2,3,253,7.9,19:05,21.4
Mitchell Marner,2016-17,TOR,R,R,77,19,42,61,0,38,0.79,15,40,4,21,0,0,0,5,176,10.8,16:49,37.8
Johnny Gaudreau,2016-17,CGY,L,L,72,18,43,61,-7,4,0.85,14,45,4,16,0,0,1,3,182,9.9,18:29,--
Ryan Johansen,2016-17,NSH,R,C,82,14,47,61,+1,60,0.74,9,37,4,23,1,1,0,3,154,9.1,18:50,54.6
Evgeny Kuznetsov,2016-17,WSH,L,C,82,19,40,59,+18,46,0.72,16,45,3,14,0,0,0,4,170,11.2,16:57,44.0
Mats Zuccarello,2016-17,NYR,L,R,80,15,44,59,+15,26,0.74,10,45,5,14,0,0,0,3,189,7.9,18:50,46.2
Alex Wennberg,2016-17,CBJ,L,C,80,13,46,59,+9,21,0.74,11,36,2,23,0,0,0,5,109,11.9,18:23,47.4
Filip Forsberg,2016-17,NSH,R,L,82,31,27,58,-4,32,0.71,25,46,3,9,3,3,1,9,234,13.3,18:31,27.8
Sean Monahan,2016-17,CGY,L,C,82,27,31,58,-1,20,0.71,18,40,8,17,1,1,2,4,199,13.6,17:35,51.5
Marcus Johansson,2016-17,WSH,L,L,82,24,34,58,+25,10,0.71,19,39,5,19,0,0,2,5,129,18.6,17:00,46.4
Ryan Kesler,2016-17,ANA,R,C,82,22,36,58,+8,83,0.71,14,38,8,20,0,0,0,2,186,11.8,21:18,57.4
Jonathan Toews,2016-17,CHI,L,C,72,21,37,58,+7,35,0.81,15,41,6,17,0,0,1,5,199,10.6,20:09,54.9
Mikko Koivu,2016-17,MIN,L,C,80,18,40,58,+27,34,0.73,16,36,2,20,0,2,1,4,139,13.0,19:07,55.2
Claude Giroux,2016-17,PHI,R,R,82,14,44,58,-15,38,0.71,9,26,5,31,0,1,2,3,199,7.0,19:07,55.9
Nino Niederreiter,2016-17,MIN,L,R,82,25,32,57,+17,53,0.70,17,43,8,14,0,0,0,3,186,13.4,15:04,0.0
Jack Eichel,2016-17,BUF,R,C,61,24,33,57,-13,22,0.93,14,33,10,24,0,0,1,4,249,9.6,19:55,38.9
T.J. Oshie,2016-17,WSH,R,R,68,33,23,56,+28,36,0.82,25,40,7,13,1,3,1,4,143,23.1,17:51,48.3
J.T. Miller,2016-17,NYR,L,C,82,22,34,56,+17,21,0.68,17,45,2,7,3,4,1,6,132,16.7,16:22,44.0
Charlie Coyle,2016-17,MIN,R,C,82,18,38,56,+13,36,0.68,14,47,4,9,0,0,0,5,159,11.3,16:42,46.0
Josh Bailey,2016-17,NYI,L,R,82,13,43,56,+5,12,0.68,10,44,3,12,0,0,1,1,173,7.5,18:22,53.3
Kevin Shattenkirk,2016-17,"STL,WSH",R,D,80,13,43,56,-7,47,0.70,5,29,8,27,0,0,0,2,161,8.1,19:56,--
Kyle Turris,2016-17,OTT,R,C,78,27,28,55,-3,47,0.71,21,38,6,17,0,0,2,6,185,14.6,19:30,53.1
Brayden Schenn,2016-17,PHI,L,C,79,25,30,55,-13,38,0.70,8,27,17,28,0,0,2,7,178,14.0,17:48,47.0
Ryan O'Reilly,2016-17,BUF,L,C,72,20,35,55,-1,10,0.76,11,29,8,24,1,2,0,3,189,10.6,21:28,58.0
Radim Vrbata,2016-17,ARI,R,R,81,20,35,55,-18,16,0.68,16,40,4,15,0,0,0,4,233,8.6,16:54,36.2
Jaden Schwartz,2016-17,STL,L,C,78,19,36,55,+14,18,0.71,16,46,3,9,0,0,1,4,179,10.6,18:54,47.9
Tyler Bozak,2016-17,TOR,R,C,78,18,37,55,-1,30,0.71,11,37,7,18,0,0,0,1,145,12.4,16:26,56.7
Derek Stepan,2016-17,NYR,R,C,81,17,38,55,+19,16,0.68,12,36,4,18,1,1,0,2,209,8.1,18:37,47.0
Wayne Simmonds,2016-17,PHI,R,R,82,31,23,54,-18,122,0.66,13,27,16,25,2,2,1,4,224,13.8,18:58,47.1
Vincent Trocheck,2016-17,FLA,R,C,82,23,31,54,-13,43,0.66,21,41,2,12,0,1,1,2,230,10.0,20:50,50.2
David Krejci,2016-17,BOS,R,C,82,23,31,54,-12,26,0.66,15,40,8,14,0,0,0,3,158,14.6,18:16,51.5
Mark Stone,2016-17,OTT,R,R,71,22,32,54,+12,25,0.76,16,40,6,14,0,0,0,5,134,16.4,18:34,40.0
Alexander Radulov,2016-17,MTL,L,R,76,18,36,54,+10,62,0.71,12,38,6,16,0,0,1,2,147,12.2,18:17,50.0
Chris Kreider,2016-17,NYR,L,L,75,28,25,53,+6,58,0.71,22,40,6,13,0,0,1,4,186,15.1,17:00,55.6
Kyle Palmieri,2016-17,NJD,R,C,80,26,27,53,+2,46,0.66,17,33,8,19,1,1,0,3,192,13.5,17:21,41.4
Brandon Saad,2016-17,CBJ,L,L,82,24,29,53,+23,8,0.65,23,50,1,3,0,0,0,4,210,11.4,17:02,44.4
Conor Sheary,2016-17,PIT,L,L,61,23,30,53,+24,22,0.87,21,48,2,5,0,0,1,6,154,14.9,15:56,--
Mikael Backlund,2016-17,CGY,L,C,81,22,31,53,+9,36,0.65,15,34,7,16,0,3,2,7,197,11.2,17:36,48.1
Jonathan Drouin,2016-17,TBL,L,L,73,21,32,53,-13,16,0.73,12,27,9,26,0,0,1,6,183,11.5,17:42,43.6
Patrice Bergeron,2016-17,BOS,R,C,79,21,32,53,+12,24,0.67,13,33,8,17,0,3,0,7,302,7.0,19:25,60.1
Taylor Hall,2016-17,NJD,L,L,72,20,33,53,-9,32,0.74,13,38,7,15,0,0,2,4,238,8.4,19:20,44.4
Corey Perry,2016-17,ANA,R,R,82,19,34,53,+2,76,0.65,14,33,5,20,0,0,0,3,215,8.8,17:43,35.0
Nathan MacKinnon,2016-17,COL,R,C,82,16,37,53,-14,16,0.65,12,37,2,14,2,2,2,4,251,6.4,19:57,50.6
Duncan Keith,2016-17,CHI,L,D,80,6,47,53,+22,16,0.66,4,38,2,15,0,0,1,2,183,3.3,25:37,--
Anders Lee,2016-17,NYI,L,L,81,34,18,52,+9,56,0.64,25,38,9,14,0,0,0,6,191,17.8,15:35,38.9
Logan Couture,2016-17,SJS,L,C,73,25,27,52,+11,12,0.71,14,36,11,15,0,1,0,3,174,14.4,17:36,39.4
Aleksander Barkov,2016-17,FLA,L,C,61,21,31,52,+13,10,0.85,18,38,3,14,0,0,2,5,142,14.8,19:24,46.5
Bo Horvat,2016-17,VAN,L,C,81,20,32,52,-7,27,0.64,15,40,3,10,2,2,0,1,158,12.7,18:02,50.5
Ondrej Palat,2016-17,TBL,L,L,75,17,35,52,+8,39,0.69,12,37,5,15,0,0,0,3,162,10.5,19:07,26.5
Dustin Byfuglien,2016-17,WPG,R,D,80,13,39,52,+10,117,0.65,12,36,1,14,0,2,0,1,241,5.4,27:27,--
Anze Kopitar,2016-17,LAK,L,C,76,12,40,52,-10,28,0.68,7,32,5,19,0,1,0,0,150,8.0,20:46,52.7
Rickard Rakell,2016-17,ANA,R,R,71,33,18,51,+10,12,0.72,28,39,5,12,0,0,1,10,177,18.6,17:23,42.2
Patrick Eaves,2016-17,"DAL,ANA",R,R,79,32,19,51,-2,24,0.65,19,33,13,18,0,0,0,2,209,15.3,16:25,50.0
Jonathan Marchessault,2016-17,FLA,R,R,75,30,21,51,-21,38,0.68,22,33,8,18,0,0,1,6,193,15.5,16:55,45.2
Nick Foligno,2016-17,CBJ,L,L,79,26,25,51,-4,55,0.65,15,30,11,21,0,0,1,5,185,14.1,18:26,46.1
Jordan Eberle,2016-17,EDM,R,R,82,20,31,51,+3,16,0.62,16,37,4,14,0,0,0,0,208,9.6,16:46,50.0
Alexander Steen,2016-17,STL,L,L,76,16,35,51,-2,53,0.67,13,35,3,16,0,0,0,2,117,13.7,19:18,40.9
Justin Schultz,2016-17,PIT,R,D,78,12,39,51,+27,34,0.65,9,31,3,20,0,0,0,1,154,7.8,20:27,--
Torey Krug,2016-17,BOS,L,D,81,8,43,51,-10,37,0.63,2,26,6,25,0,0,0,1,208,3.9,21:36,0.0
Milan Lucic,2016-17,EDM,L,L,82,23,27,50,-3,50,0.61,11,25,12,25,0,0,0,3,175,13.1,17:10,57.1
Sam Gagner,2016-17,CBJ,R,C,81,18,32,50,+10,22,0.62,10,32,8,18,0,0,0,1,178,10.1,13:43,47.5
Henrik Sedin,2016-17,VAN,L,C,82,15,35,50,-27,28,0.61,14,35,1,15,0,0,2,4,99,15.2,19:02,49.0
Jason Spezza,2016-17,DAL,R,C,68,15,35,50,-18,29,0.74,12,30,2,19,1,1,0,4,149,10.1,16:10,52.2
Dougie Hamilton,2016-17,CGY,R,D,81,13,37,50,+12,64,0.62,11,35,2,14,0,1,1,5,222,5.9,19:41,--
Joe Thornton,2016-17,SJS,L,C,79,7,43,50,+7,51,0.63,6,31,1,19,0,0,0,0,81,8.6,18:04,50.9
Sebastian Aho,2016-17,CAR,L,C,82,24,25,49,-1,26,0.60,17,30,6,17,1,2,1,4,214,11.2,16:47,48.6
Jakob Silfverberg,2016-17,ANA,R,R,79,23,26,49,+10,20,0.62,17,39,5,9,1,1,0,5,227,10.1,18:29,14.3
Kevin Hayes,2016-17,NYR,L,R,76,17,32,49,+10,18,0.64,15,35,1,7,1,7,0,4,143,11.9,16:34,45.7
John Klingberg,2016-17,DAL,R,D,80,13,36,49,+2,34,0.61,9,32,4,17,0,0,0,3,124,10.5,23:21,100.0
Roman Josi,2016-17,NSH,L,D,72,12,37,49,+7,18,0.68,5,30,7,18,0,1,0,1,217,5.5,25:04,--
Justin Williams,2016-17,WSH,R,R,80,24,24,48,+14,50,0.60,19,38,5,10,0,0,0,4,167,14.4,15:29,54.7
Thomas Vanek,2016-17,"DET,FLA",R,L,68,17,31,48,-5,22,0.71,12,35,5,13,0,0,0,2,133,12.8,14:24,40.0
Alex Pietrangelo,2016-17,STL,R,D,80,14,34,48,+3,24,0.60,8,29,6,19,0,0,0,4,181,7.7,25:17,0.0
Matthew Tkachuk,2016-17,CGY,L,L,76,13,35,48,+14,105,0.63,10,35,3,13,0,0,0,2,142,9.2,14:40,34.8
Gustav Nyquist,2016-17,DET,L,C,76,12,36,48,0,18,0.63,10,39,2,9,0,0,0,2,165,7.3,17:26,80.0
Jason Zucker,2016-17,MIN,L,L,79,22,25,47,+34,30,0.59,21,46,1,1,0,0,0,3,172,12.8,15:17,20.0
Bryan Little,2016-17,WPG,R,C,59,21,26,47,-7,18,0.80,15,35,6,12,0,0,1,3,119,17.7,17:33,55.6
Sam Reinhart,2016-17,BUF,R,C,79,17,30,47,-11,8,0.59,8,30,9,17,0,0,0,3,178,9.6,17:13,41.0
Jason Pominville,2016-17,MIN,R,R,78,13,34,47,+2,4,0.60,13,40,0,7,0,0,0,2,176,7.4,14:14,50.0
Zach Werenski,2016-17,CBJ,L,D,78,11,36,47,+17,14,0.60,7,26,4,21,0,0,1,1,188,5.9,20:55,--
Patrick Marleau,2016-17,SJS,L,C,82,27,19,46,+4,28,0.56,20,30,7,16,0,0,0,6,190,14.2,17:09,53.5
Tomas Tatar,2016-17,DET,L,L,82,25,21,46,-8,26,0.56,20,38,5,8,0,0,0,5,166,15.1,17:17,61.5
David Perron,2016-17,STL,R,L,82,18,28,46,-2,54,0.56,14,32,3,13,1,1,1,3,151,11.9,17:18,48.5
Jaromir Jagr,2016-17,FLA,L,R,82,16,30,46,+2,56,0.56,8,33,8,13,0,0,0,2,181,8.8,17:00,50.0
Nick Leddy,2016-17,NYI,L,D,81,11,35,46,-3,12,0.57,8,31,3,15,0,0,0,1,137,8.0,22:43,--
Marian Hossa,2016-17,CHI,L,R,73,26,19,45,+7,8,0.62,20,33,5,11,1,1,3,7,167,15.6,16:51,35.7
Artem Anisimov,2016-17,CHI,L,C,64,22,23,45,+9,30,0.70,18,37,4,8,0,0,1,7,105,21.0,17:51,45.1
Brock Nelson,2016-17,NYI,L,C,81,20,25,45,-6,36,0.56,19,38,1,6,0,1,1,4,173,11.6,15:39,43.7
Tyler Johnson,2016-17,TBL,R,C,66,19,26,45,-5,28,0.68,13,28,6,17,0,0,1,3,130,14.6,18:49,52.0
Kyle Okposo,2016-17,BUF,R,R,65,19,26,45,-7,24,0.69,12,22,7,23,0,0,1,2,156,12.2,18:58,54.6
Victor Rask,2016-17,CAR,L,C,82,16,29,45,-10,16,0.55,12,34,4,10,0,1,0,3,186,8.6,17:18,49.8
Jordan Staal,2016-17,CAR,L,C,75,16,29,45,-1,38,0.60,11,36,4,8,1,1,0,3,164,9.8,18:40,59.1
Travis Zajac,2016-17,NJD,R,C,80,14,31,45,-8,33,0.56,7,31,6,12,1,2,0,1,126,11.1,19:44,54.7
Mathieu Perreault,2016-17,WPG,L,C,65,13,32,45,-11,30,0.69,10,30,3,15,0,0,0,3,134,9.7,16:17,51.3
Elias Lindholm,2016-17,CAR,R,C,72,11,34,45,-2,16,0.63,8,29,2,11,1,5,0,0,151,7.3,18:11,55.6
Rasmus Ristolainen,2016-17,BUF,R,D,79,6,39,45,-9,58,0.57,5,19,1,25,0,1,2,2,186,3.2,26:28,--
Tanner Pearson,2016-17,LAK,L,L,80,24,20,44,+5,13,0.55,20,34,3,8,1,2,2,5,187,12.8,16:19,41.7
Richard Panik,2016-17,CHI,L,R,82,22,22,44,+14,58,0.54,18,35,4,9,0,0,0,5,155,14.2,14:44,28.6
Patric Hornqvist,2016-17,PIT,R,R,70,21,23,44,+16,28,0.63,11,27,10,17,0,0,0,6,223,9.4,15:57,27.3
Alex Galchenyuk,2016-17,MTL,L,C,61,17,27,44,-5,24,0.72,11,29,6,15,0,0,5,6,104,16.4,15:56,42.7
Michael Frolik,2016-17,CGY,L,R,82,17,27,44,+13,58,0.54,12,33,3,8,2,3,1,1,202,8.4,17:05,44.8
Daniel Sedin,2016-17,VAN,L,L,82,15,29,44,-16,32,0.54,9,30,6,14,0,0,1,3,216,6.9,18:23,50.0
Drew Doughty,2016-17,LAK,R,D,82,12,32,44,+8,46,0.54,7,24,5,19,0,1,1,1,181,6.6,27:09,100.0
Evander Kane,2016-17,BUF,L,L,70,28,15,43,-17,113,0.61,25,35,3,8,0,0,1,5,260,10.8,19:12,45.1
Paul Byron,2016-17,MTL,L,L,81,22,21,43,+21,29,0.53,21,38,0,4,1,1,1,6,96,22.9,15:04,66.7
Ryan Nugent-Hopkins,2016-17,EDM,L,C,82,18,25,43,-10,29,0.52,13,32,5,11,0,0,1,4,200,9.0,17:42,43.9
Jake Gardiner,2016-17,TOR,L,D,82,9,34,43,+24,34,0.52,7,30,2,13,0,0,2,2,127,7.1,21:32,--
Pat Maroon,2016-17,EDM,L,L,81,27,15,42,+13,95,0.52,24,36,3,6,0,0,0,5,178,15.2,16:44,40.0
Zach Parise,2016-17,MIN,L,L,69,19,23,42,-3,30,0.61,13,30,6,12,0,0,0,4,194,9.8,17:26,61.5
Mike Fisher,2016-17,NSH,R,C,72,18,24,42,+1,55,0.58,11,25,7,17,0,0,0,3,120,15.0,16:37,54.9
Shea Weber,2016-17,MTL,R,D,78,17,25,42,+20,38,0.54,5,18,12,22,0,2,0,4,183,9.3,25:04,--
Teuvo Teravainen,2016-17,CAR,L,L,81,15,27,42,-6,16,0.52,10,27,5,15,0,0,1,2,169,8.9,16:14,46.7
Seth Jones,2016-17,CBJ,R,D,75,12,30,42,+6,24,0.56,11,35,1,7,0,0,3,3,152,7.9,23:24,--
Valtteri Filppula,2016-17,"TBL,PHI",L,C,79,12,30,42,-1,26,0.53,12,35,0,7,0,0,0,1,97,12.4,17:24,47.9
Ryan McDonagh,2016-17,NYR,L,D,77,6,36,42,+20,37,0.55,4,26,1,15,1,1,0,1,153,3.9,24:21,--
James Neal,2016-17,NSH,L,L,70,23,18,41,-10,35,0.59,18,28,5,13,0,0,1,5,202,11.4,17:42,50.0
Matt Duchene,2016-17,COL,L,C,77,18,23,41,-34,12,0.53,14,31,3,9,1,1,1,3,160,11.3,18:18,62.6
Frans Nielsen,2016-17,DET,L,C,79,17,24,41,-19,18,0.52,11,24,4,15,2,2,0,0,162,10.5,17:09,53.8
Brandon Dubinsky,2016-17,CBJ,L,C,80,12,29,41,+16,91,0.51,10,36,1,4,1,1,1,5,115,10.4,17:54,51.8
Keith Yandle,2016-17,FLA,L,D,82,5,36,41,-6,39,0.50,3,22,2,18,0,1,0,0,178,2.8,22:02,--
Michael Grabner,2016-17,NYR,L,L,76,27,13,40,+22,10,0.53,26,37,0,0,1,3,0,3,162,16.7,14:06,53.9
Adam Henrique,2016-17,NJD,L,C,82,20,20,40,-20,38,0.49,12,27,6,10,2,3,1,2,142,14.1,18:10,48.2
Brayden Point,2016-17,TBL,R,C,68,18,22,40,+4,14,0.59,13,28,5,12,0,0,0,2,122,14.8,17:08,44.7
Paul Stastny,2016-17,STL,L,C,66,18,22,40,+4,36,0.61,13,27,5,13,0,0,0,5,112,16.1,19:08,55.7
Lee Stempniak,2016-17,CAR,R,R,82,16,24,40,+2,32,0.49,14,34,2,6,0,0,0,2,131,12.2,15:51,37.5
Phillip Danault,2016-17,MTL,L,C,82,13,27,40,+5,35,0.49,13,37,0,2,0,1,1,3,133,9.8,15:35,51.7
P.K. Subban,2016-17,NSH,R,D,66,10,30,40,-8,44,0.61,7,23,3,16,0,1,0,2,142,7.0,24:24,--
Ryan Suter,2016-17,MIN,L,D,82,9,31,40,+34,36,0.49,4,26,4,12,1,2,0,1,164,5.5,26:55,--
Martin Hanzal,2016-17,"ARI,MIN",L,C,71,20,19,39,-17,53,0.55,15,30,5,9,0,0,1,2,169,11.8,17:43,56.4
Derick Brassard,2016-17,OTT,L,C,81,14,25,39,+12,24,0.48,11,32,3,7,0,0,0,3,195,7.2,17:23,50.0
Oliver Ekman-Larsson,2016-17,ARI,L,D,79,12,27,39,-25,48,0.49,4,20,8,19,0,0,1,1,145,8.3,24:37,--
Mark Giordano,2016-17,CGY,L,D,81,12,27,39,+22,59,0.48,7,22,3,14,2,3,1,4,151,8.0,23:35,--
Cam Fowler,2016-17,ANA,L,D,80,11,28,39,+7,20,0.49,5,22,5,15,1,2,0,3,186,5.9,24:51,--
Ryan Spooner,2016-17,BOS,L,C,78,11,28,39,-8,14,0.50,8,20,3,18,0,1,1,3,145,7.6,14:06,38.9
Alec Martinez,2016-17,LAK,L,D,82,9,30,39,-17,24,0.48,6,23,2,15,1,1,2,3,144,6.3,21:38,0.0
Shayne Gostisbehere,2016-17,PHI,L,D,76,7,32,39,-21,32,0.51,5,16,2,23,0,0,0,1,198,3.5,19:36,--
Brady Skjei,2016-17,NYR,L,D,80,5,34,39,+11,42,0.49,5,32,0,7,0,0,0,0,127,3.9,17:28,0.0
Matt Niskanen,2016-17,WSH,R,D,78,5,34,39,+20,32,0.50,4,29,1,9,0,1,0,2,154,3.3,22:11,--
Brent Seabrook,2016-17,CHI,R,D,79,3,36,39,+5,26,0.49,1,25,2,14,0,0,0,0,131,2.3,21:54,0.0
Rick Nash,2016-17,NYR,L,L,67,23,15,38,+9,26,0.57,16,28,6,9,1,1,0,3,195,11.8,16:28,0.0
Mikko Rantanen,2016-17,COL,L,R,75,20,18,38,-25,22,0.51,16,28,4,10,0,0,1,2,133,15.0,18:03,58.0
David Backes,2016-17,BOS,R,R,74,17,21,38,+2,69,0.51,15,31,2,7,0,0,0,2,175,9.7,17:07,48.8
Ryan Ellis,2016-17,NSH,R,D,71,16,22,38,+17,29,0.54,11,24,4,11,1,3,0,3,140,11.4,23:57,--
Oscar Klefbom,2016-17,EDM,L,D,82,12,26,38,+7,6,0.46,9,21,3,16,0,1,0,3,201,6.0,22:22,--
Jared Spurgeon,2016-17,MIN,R,D,76,10,28,38,+33,20,0.50,9,32,1,5,0,1,1,2,144,6.9,24:02,--
Max Domi,2016-17,ARI,L,C,59,9,29,38,-9,40,0.64,8,30,1,8,0,0,0,1,108,8.3,16:59,50.0
Tyson Barrie,2016-17,COL,R,D,74,7,31,38,-34,18,0.51,6,28,1,10,0,0,0,2,182,3.9,23:18,--
Nick Bonino,2016-17,PIT,L,C,80,18,19,37,-5,16,0.46,11,25,6,11,1,1,0,1,142,12.7,16:39,48.0
Justin Faulk,2016-17,CAR,R,D,75,17,20,37,-18,32,0.49,13,24,4,13,0,0,0,2,225,7.6,23:08,--
Reilly Smith,2016-17,FLA,L,R,80,15,22,37,-13,17,0.46,8,25,6,11,1,1,0,3,160,9.4,18:21,50.0
Kris Versteeg,2016-17,CGY,R,R,69,15,22,37,-3,46,0.54,7,21,8,16,0,0,0,1,136,11.0,14:44,52.0
Mika Zibanejad,2016-17,NYR,R,C,56,14,23,37,+9,16,0.66,10,26,4,11,0,0,2,2,119,11.8,17:04,52.0
Scott Hartnell,2016-17,CBJ,L,L,78,13,24,37,+14,63,0.47,11,34,2,3,0,0,0,1,104,12.5,12:04,50.0
John Carlson,2016-17,WSH,R,D,72,9,28,37,+7,10,0.51,6,20,3,16,0,1,0,3,180,5.0,22:43,--
Connor Brown,2016-17,TOR,R,R,82,20,16,36,+3,10,0.44,17,29,2,6,1,1,0,4,139,14.4,16:12,25.0
Alex Killorn,2016-17,TBL,L,L,81,19,17,36,-9,66,0.44,14,24,4,10,1,2,0,4,176,10.8,18:00,33.3
Anthony Mantha,2016-17,DET,L,R,60,17,19,36,+10,53,0.60,16,33,1,3,0,0,2,3,133,12.8,15:54,45.5
Mike Green,2016-17,DET,R,D,72,14,22,36,-20,40,0.50,11,26,3,10,0,0,1,2,125,11.2,23:33,--
Dustin Brown,2016-17,LAK,R,R,80,14,22,36,-4,22,0.45,9,29,4,6,1,1,0,1,175,8.0,16:00,40.0
TJ Brodie,2016-17,CGY,L,D,82,6,30,36,-16,24,0.44,4,22,1,12,1,2,1,2,78,7.7,23:35,--
Alex Goligoski,2016-17,ARI,L,D,82,6,30,36,-9,28,0.44,4,26,1,8,1,2,0,0,112,5.4,23:20,--
Andrei Markov,2016-17,MTL,L,D,62,6,30,36,+18,16,0.58,5,23,1,12,0,1,0,1,98,6.1,21:50,--
Nikita Zaitsev,2016-17,TOR,R,D,82,4,32,36,-22,38,0.44,3,23,1,12,0,1,0,0,106,3.8,22:01,--
