Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,2016-17,EDM,L,C,82,30,70,100,+27,26,1.22,26,71,3,27,1,2,1,6,251,12.0,21:08,43.2
Sidney Crosby,2016-17,PIT,L,C,75,44,45,89,+17,24,1.19,30,64,14,25,0,0,1,5,255,17.3,19:53,48.2
Patrick Kane,2016-17,CHI,L,R,82,34,55,89,+11,32,1.09,27,66,7,23,0,0,1,5,292,11.6,21:24,13.7
Nicklas Backstrom,2016-17,WSH,L,C,82,23,63,86,+17,38,1.05,15,51,8,35,0,0,2,5,162,14.2,18:16,51.4
Nikita Kucherov,2016-17,TBL,L,R,74,40,45,85,+13,38,1.15,23,53,17,32,0,0,1,7,246,16.3,19:26,--
Brad Marchand,2016-17,BOS,L,L,80,39,46,85,+18,81,1.06,27,56,9,24,3,5,1,8,226,17.3,19:26,36.1
Mark Scheifele,2016-17,WPG,R,C,79,32,50,82,+18,38,1.04,25,65,7,15,0,2,2,5,160,20.0,20:34,43.5
Leon Draisaitl,2016-17,EDM,L,C,82,29,48,77,+7,20,0.94,19,50,10,27,0,0,3,5,172,16.9,18:53,49.0
Brent Burns,2016-17,SJS,R,D,82,29,47,76,+19,40,0.93,21,50,8,25,0,1,3,6,320,9.1,24:52,--
Vladimir Tarasenko,2016-17,STL,L,R,82,39,36,75,-1,12,0.91,30,53,9,22,0,0,3,8,286,13.6,18:28,50.0
Artemi Panarin,2016-17,CHI,R,L,82,31,43,74,+18,21,0.90,22,57,9,17,0,0,1,5,211,14.7,19:28,20.0
Blake Wheeler,2016-17,WPG,R,R,82,26,48,74,+6,47,0.90,19,50,5,21,2,3,0,4,259,10.0,20:09,45.7
Ryan Getzlaf,2016-17,ANA,R,C,74,15,58,73,+7,49,0.99,7,50,6,20,2,3,0,3,138,10.9,21:04,50.3
Evgeni Malkin,2016-17,PIT,L,C,62,33,39,72,+18,77,1.16,22,49,11,23,0,0,1,6,191,17.3,18:37,43.1
Tyler Seguin,2016-17,DAL,R,C,82,26,46,72,-15,22,0.88,15,43,11,29,0,0,1,4,301,8.6,18:28,51.0
Victor Hedman,2016-17,TBL,L,D,79,16,56,72,+3,47,0.91,12,39,4,33,0,0,2,5,166,9.6,24:31,--
Erik Karlsson,2016-17,OTT,R,D,77,17,54,71,+10,28,0.92,13,42,4,27,0,2,1,5,218,7.8,26:50,--
David Pastrnak,2016-17,BOS,R,R,75,34,36,70,+11,34,0.93,24,46,10,24,0,0,2,6,262,13.0,17:59,66.7
Phil Kessel,2016-17,PIT,R,R,82,23,47,70,+3,20,0.85,15,40,8,30,0,0,1,4,229,10.0,17:56,33.3
Auston Matthews,2016-17,TOR,L,C,82,40,29,69,+2,14,0.84,32,48,8,21,0,0,1,8,279,14.3,17:38,46.8
Alex Ovechkin,2016-17,WSH,R,L,82,33,36,69,+6,50,0.84,16,43,17,26,0,0,2,7,313,10.5,18:22,0.0
Mikael Granlund,2016-17,MIN,L,C,81,26,43,69,+23,12,0.85,16,45,7,20,3,4,1,4,177,14.7,18:49,48.5
