Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Wayne Simmonds,2014-15,PHI,R,R,75,28,22,50,-5,66,0.67,14,26,14,24,0,0,0,6,188,14.9,16:48,80.0
Ryan Strome,2014-15,NYI,R,C,81,17,33,50,+23,47,0.62,15,41,1,8,1,1,0,2,179,9.5,15:24,46.7
Andrei Markov,2014-15,MTL,L,D,81,10,40,50,+22,38,0.62,6,24,4,25,0,1,0,1,135,7.4,24:55,--
Tyler Toffoli,2014-15,LAK,R,R,76,23,26,49,+25,37,0.64,15,38,3,5,5,6,0,3,200,11.5,14:35,44.4
Tyler Bozak,2014-15,TOR,R,C,82,23,26,49,-34,44,0.60,9,29,12,18,2,2,0,3,154,14.9,19:09,53.2
Mark Scheifele,2014-15,WPG,R,C,82,15,34,49,+11,24,0.60,12,36,3,13,0,0,0,2,170,8.8,18:35,42.9
Justin Faulk,2014-15,CAR,R,D,82,15,34,49,-19,30,0.60,6,27,7,20,2,2,0,4,238,6.3,24:26,--
Mats Zuccarello,2014-15,NYR,L,R,78,15,34,49,+17,45,0.63,15,43,0,6,0,0,0,3,154,9.7,17:16,43.2
Mike Hoffman,2014-15,OTT,L,C,79,27,21,48,+16,14,0.61,26,45,1,3,0,0,1,4,199,13.6,14:33,50.0
David Desharnais,2014-15,MTL,L,C,82,14,34,48,+22,24,0.59,12,37,2,11,0,0,2,4,90,15.6,17:15,52.9
Mikko Koivu,2014-15,MIN,L,C,80,14,34,48,+2,38,0.60,10,33,4,15,0,0,1,4,179,7.8,19:16,55.2
Valtteri Filppula,2014-15,TBL,L,C,82,12,36,48,-14,24,0.59,10,31,2,17,0,0,0,0,91,13.2,19:01,52.4
Mark Giordano,2014-15,CGY,L,D,61,11,37,48,+13,37,0.79,8,33,2,14,1,1,1,2,157,7.0,25:10,--
Marian Gaborik,2014-15,LAK,L,R,69,27,20,47,+7,16,0.68,16,29,11,18,0,0,0,2,174,15.5,16:55,100.0
Brendan Gallagher,2014-15,MTL,R,R,82,24,23,47,+18,31,0.57,21,39,3,8,0,0,0,6,254,9.5,16:35,43.4
Loui Eriksson,2014-15,BOS,L,L,81,22,25,47,+1,14,0.58,16,35,6,11,0,1,2,4,169,13.0,18:29,33.3
Marcus Johansson,2014-15,WSH,L,L,82,20,27,47,+6,10,0.57,17,32,3,15,0,0,0,1,138,14.5,16:29,43.8
Ryan Kesler,2014-15,ANA,R,C,81,20,27,47,-5,75,0.58,14,33,5,11,1,3,2,4,205,9.8,19:31,56.3
Brayden Schenn,2014-15,PHI,L,C,82,18,29,47,-5,34,0.57,11,28,7,19,0,0,1,6,156,11.5,17:05,46.7
Jaromir Jagr,2014-15,"NJD,FLA",L,R,77,17,30,47,-3,48,0.61,13,36,4,11,0,0,1,5,169,10.1,17:34,100.0
Chris Kreider,2014-15,NYR,L,L,80,21,25,46,+24,88,0.58,14,38,7,8,0,0,0,5,180,11.7,15:43,42.9
Alex Galchenyuk,2014-15,MTL,L,C,80,20,26,46,+8,39,0.58,17,34,3,12,0,0,0,1,163,12.3,16:26,47.1
Mika Zibanejad,2014-15,OTT,R,C,80,20,26,46,0,20,0.58,16,32,4,14,0,0,0,0,150,13.3,16:26,48.8
Tyler Ennis,2014-15,BUF,L,R,78,20,26,46,-19,37,0.59,13,28,6,17,1,1,0,2,185,10.8,19:07,36.6
Paul Stastny,2014-15,STL,L,C,74,16,30,46,+5,40,0.62,9,31,7,15,0,0,0,7,143,11.2,17:38,57.9
Alex Pietrangelo,2014-15,STL,R,D,81,7,39,46,-2,28,0.57,6,34,1,12,0,0,0,2,195,3.6,25:25,--
Drew Doughty,2014-15,LAK,R,D,82,7,39,46,+3,56,0.56,6,28,1,17,0,1,0,2,219,3.2,29:00,0.0
Dustin Byfuglien,2014-15,WPG,R,D,69,18,27,45,+5,124,0.65,13,27,5,17,0,1,1,3,209,8.6,22:41,0.0
Kevin Hayes,2014-15,NYR,L,R,79,17,28,45,+15,22,0.57,15,39,1,5,1,1,0,1,111,15.3,13:02,36.3
Shea Weber,2014-15,NSH,R,D,78,15,30,45,+15,72,0.58,9,29,5,15,1,1,1,2,237,6.3,26:22,--
Mike Green,2014-15,WSH,R,D,72,10,35,45,+15,34,0.63,9,28,1,17,0,0,0,2,159,6.3,19:06,--
Duncan Keith,2014-15,CHI,L,D,80,10,35,45,+12,20,0.56,7,28,3,16,0,1,0,2,171,5.9,25:34,--
Craig Smith,2014-15,NSH,R,C,82,23,21,44,+11,44,0.54,17,35,6,9,0,0,1,4,252,9.1,15:44,40.0
Justin Abdelkader,2014-15,DET,L,L,71,23,21,44,+3,72,0.62,15,30,8,14,0,0,2,5,154,14.9,17:55,46.7
Milan Lucic,2014-15,BOS,L,L,81,18,26,44,+13,81,0.54,16,36,2,8,0,0,0,4,141,12.8,16:21,44.7
Jori Lehtera,2014-15,STL,L,C,75,14,30,44,+21,48,0.59,11,35,2,7,1,2,0,2,103,13.6,16:13,51.2
Carl Soderberg,2014-15,BOS,L,C,82,13,31,44,+10,26,0.54,8,36,5,8,0,0,0,3,163,8.0,16:49,48.2
Niklas Kronwall,2014-15,DET,L,D,80,9,35,44,-4,40,0.55,6,21,3,23,0,0,1,1,101,8.9,23:50,100.0
Kevin Shattenkirk,2014-15,STL,R,D,56,8,36,44,+19,52,0.79,4,19,4,25,0,0,0,1,135,5.9,22:34,--
Jussi Jokinen,2014-15,FLA,L,L,81,8,36,44,-2,34,0.54,6,35,2,9,0,0,0,0,134,6.0,16:44,50.4
Nick Bjugstad,2014-15,FLA,R,C,72,24,19,43,-7,38,0.60,17,31,7,12,0,0,0,3,207,11.6,16:35,48.9
Oliver Ekman-Larsson,2014-15,ARI,L,D,82,23,20,43,-18,40,0.52,12,22,10,20,1,1,3,7,264,8.7,25:13,--
Troy Brouwer,2014-15,WSH,R,R,82,21,22,43,+11,53,0.52,11,27,8,14,2,2,0,3,145,14.5,17:31,56.9
Drew Stafford,2014-15,"BUF,WPG",R,R,76,18,25,43,-12,47,0.57,14,33,4,9,0,1,0,1,147,12.2,16:30,49.4
Adam Henrique,2014-15,NJD,L,C,75,16,27,43,-6,34,0.57,11,26,5,16,0,1,0,3,127,12.6,17:45,52.0
Patrick Sharp,2014-15,CHI,R,L,68,16,27,43,-8,33,0.63,8,29,8,14,0,0,1,2,230,7.0,16:49,49.1
Frans Nielsen,2014-15,NYI,L,C,78,14,29,43,+8,12,0.55,9,22,4,18,1,3,0,4,157,8.9,16:35,48.2
Michael Cammalleri,2014-15,NJD,L,L,68,27,15,42,+2,28,0.62,16,29,9,11,2,2,0,8,156,17.3,18:20,42.2
Brad Marchand,2014-15,BOS,L,L,77,24,18,42,+5,95,0.55,20,37,2,2,2,3,3,5,180,13.3,16:54,39.4
Brock Nelson,2014-15,NYI,L,C,82,20,22,42,+6,24,0.51,10,27,10,15,0,0,0,3,190,10.5,15:53,44.3
Colin Wilson,2014-15,NSH,L,C,77,20,22,42,+19,22,0.55,17,35,3,7,0,0,0,5,172,11.6,16:13,39.9
Michael Frolik,2014-15,WPG,L,R,82,19,23,42,+4,18,0.51,13,32,3,7,3,3,0,4,206,9.2,17:30,34.2
Dougie Hamilton,2014-15,BOS,R,D,72,10,32,42,-3,41,0.58,5,27,5,15,0,0,1,2,188,5.3,21:20,--
Anders Lee,2014-15,NYI,L,L,76,25,16,41,+9,33,0.54,20,35,5,6,0,0,0,6,197,12.7,14:24,100.0
Mathieu Perreault,2014-15,WPG,L,C,62,18,23,41,+7,38,0.66,13,29,5,12,0,0,1,2,129,14.0,16:15,51.6
Justin Williams,2014-15,LAK,R,R,81,18,23,41,+8,29,0.51,14,28,4,13,0,0,0,2,174,10.3,15:49,50.0
David Perron,2014-15,"EDM,PIT",R,L,81,17,24,41,-25,62,0.51,14,32,3,9,0,0,0,2,196,8.7,17:20,25.0
Josh Bailey,2014-15,NYI,L,R,70,15,26,41,+3,12,0.59,13,37,2,4,0,0,0,1,140,10.7,16:47,45.5
Sam Gagner,2014-15,ARI,R,C,81,15,26,41,-28,28,0.51,9,29,6,12,0,0,1,1,183,8.2,17:15,46.8
Matt Moulson,2014-15,BUF,L,L,77,13,28,41,-11,4,0.53,10,30,3,11,0,0,0,2,156,8.3,17:41,59.1
TJ Brodie,2014-15,CGY,L,D,81,11,30,41,+15,30,0.51,7,29,3,9,1,3,1,3,133,8.3,25:12,--
Jake Muzzin,2014-15,LAK,L,D,76,10,31,41,-4,22,0.54,6,26,4,14,0,1,0,3,173,5.8,22:42,--
Cam Atkinson,2014-15,CBJ,R,R,78,22,18,40,-2,22,0.51,14,29,7,10,1,1,0,7,212,10.4,16:59,44.4
Cody Eakin,2014-15,DAL,L,C,78,19,21,40,-1,26,0.51,15,33,2,4,2,3,2,6,142,13.4,17:12,50.8
Chris Kunitz,2014-15,PIT,L,L,74,17,23,40,+2,56,0.54,7,23,9,16,1,1,0,5,170,10.0,17:53,53.9
Reilly Smith,2014-15,BOS,L,R,81,13,27,40,+7,20,0.49,12,29,1,11,0,0,0,0,143,9.1,15:24,25.0
John Klingberg,2014-15,DAL,R,D,65,11,29,40,+5,32,0.62,9,28,2,12,0,0,1,3,98,11.2,21:50,--
Jack Johnson,2014-15,CBJ,L,D,79,8,32,40,-13,44,0.51,5,19,3,21,0,0,1,1,141,5.7,24:10,--
Erik Cole,2014-15,"DAL,DET",L,L,68,21,18,39,+2,14,0.57,17,29,3,9,1,1,0,0,122,17.2,14:33,31.3
Mike Fisher,2014-15,NSH,R,C,59,19,20,39,+4,39,0.66,11,28,7,10,1,1,0,1,111,17.1,18:26,52.3
Nazem Kadri,2014-15,TOR,L,C,73,18,21,39,-7,28,0.53,14,31,3,7,1,1,0,1,176,10.2,17:36,46.2
Elias Lindholm,2014-15,CAR,R,C,81,17,22,39,-23,14,0.48,13,24,4,15,0,0,1,4,170,10.0,16:25,52.3
Nick Bonino,2014-15,VAN,L,C,75,15,24,39,+7,22,0.52,14,34,1,5,0,0,0,6,149,10.1,16:55,47.4
Jakob Silfverberg,2014-15,ANA,R,R,81,13,26,39,+15,24,0.48,10,32,2,4,1,3,0,2,189,6.9,15:40,46.0
Aaron Ekblad,2014-15,FLA,R,D,81,12,27,39,+12,32,0.48,6,26,6,13,0,0,0,4,170,7.1,21:49,--
Torey Krug,2014-15,BOS,L,D,78,12,27,39,+13,20,0.50,10,25,2,14,0,0,0,0,205,5.9,19:36,--
Anton Stralman,2014-15,TBL,R,D,82,9,30,39,+22,26,0.48,7,25,2,14,0,0,0,0,138,6.5,21:57,--
Mikael Granlund,2014-15,MIN,L,C,68,8,31,39,+17,20,0.57,8,31,0,8,0,0,0,2,99,8.1,17:54,48.4
Trevor Daley,2014-15,DAL,L,D,68,16,22,38,-13,34,0.56,8,24,6,12,2,2,0,2,113,14.2,22:53,--
Alex Killorn,2014-15,TBL,L,L,71,15,23,38,+8,36,0.54,13,34,1,3,1,1,0,5,130,11.5,16:56,43.8
Nathan MacKinnon,2014-15,COL,R,C,64,14,24,38,-7,34,0.59,11,31,3,7,0,0,0,2,192,7.3,17:03,47.0
Taylor Hall,2014-15,EDM,L,L,53,14,24,38,-1,40,0.72,11,32,3,6,0,0,0,0,158,8.9,19:13,45.9
Brad Boyes,2014-15,FLA,R,R,78,14,24,38,+11,20,0.49,9,29,5,9,0,0,1,4,151,9.3,15:39,56.1
Antoine Vermette,2014-15,"ARI,CHI",L,C,82,13,25,38,-25,40,0.46,7,24,6,14,0,0,0,1,109,11.9,17:51,55.3
Victor Hedman,2014-15,TBL,L,D,59,10,28,38,+12,40,0.64,7,27,3,11,0,0,1,2,115,8.7,22:41,--
Ryan Suter,2014-15,MIN,L,D,77,2,36,38,+7,48,0.49,1,26,1,11,0,1,0,1,150,1.3,29:04,--
Nino Niederreiter,2014-15,MIN,L,R,80,24,13,37,+2,28,0.46,17,28,6,8,1,1,0,5,149,16.1,14:33,28.6
James Neal,2014-15,NSH,L,L,67,23,14,37,+12,57,0.55,20,33,3,4,0,0,2,6,221,10.4,18:05,41.2
Sean Couturier,2014-15,PHI,L,C,82,15,22,37,+4,28,0.45,13,29,1,6,1,2,0,0,148,10.1,18:23,48.4
Sami Vatanen,2014-15,ANA,R,D,67,12,25,37,+5,36,0.55,4,19,7,17,1,1,0,1,122,9.8,21:28,50.0
Brad Richards,2014-15,CHI,L,C,76,12,25,37,+3,12,0.49,10,30,2,7,0,0,0,3,199,6.0,14:53,48.4
Evgeny Kuznetsov,2014-15,WSH,L,C,80,11,26,37,+10,24,0.46,7,24,4,13,0,0,1,1,127,8.7,13:20,44.6
Nick Leddy,2014-15,NYI,L,D,78,10,27,37,+18,14,0.47,9,24,1,12,0,1,0,1,120,8.3,20:22,--
Aleksander Barkov,2014-15,FLA,L,C,71,16,20,36,-4,16,0.51,13,29,3,7,0,0,0,3,123,13.0,17:30,46.1
Clarke MacArthur,2014-15,OTT,L,L,62,16,20,36,-6,36,0.58,10,26,6,10,0,0,0,5,140,11.4,17:00,36.4
Tommy Wingels,2014-15,SJS,R,C,75,15,21,36,-7,40,0.48,10,25,4,10,1,1,0,1,158,9.5,16:28,45.5
Chris Stewart,2014-15,"BUF,MIN",R,R,81,14,22,36,-26,88,0.44,9,26,5,10,0,0,0,0,155,9.0,15:53,24.4
Shane Doan,2014-15,ARI,R,R,79,14,22,36,-29,65,0.46,9,26,5,10,0,0,0,0,189,7.4,18:53,27.3
Riley Sheahan,2014-15,DET,L,C,79,13,23,36,-3,16,0.46,8,25,5,11,0,0,0,0,123,10.6,15:39,49.9
Brandon Dubinsky,2014-15,CBJ,L,C,47,13,23,36,+11,43,0.77,12,28,0,7,1,1,0,1,100,13.0,18:04,50.8
Chris Higgins,2014-15,VAN,L,L,77,12,24,36,+8,16,0.47,9,31,3,5,0,0,0,1,171,7.0,15:47,33.3
David Savard,2014-15,CBJ,R,D,82,11,25,36,0,71,0.44,8,26,3,10,0,0,0,3,112,9.8,22:57,100.0
Cody Franson,2014-15,"TOR,NSH",R,D,78,7,29,36,-7,28,0.46,2,19,5,17,0,0,0,0,127,5.5,19:38,--
Alex Goligoski,2014-15,DAL,L,D,81,4,32,36,0,24,0.44,4,26,0,8,0,2,0,0,122,3.3,23:49,--
Jimmy Hayes,2014-15,FLA,R,R,72,19,16,35,-4,20,0.49,15,24,4,11,0,0,0,3,166,11.5,15:09,44.4
Carl Hagelin,2014-15,NYR,L,L,82,17,18,35,+18,46,0.43,16,33,1,1,0,1,1,4,185,9.2,15:14,35.3
Curtis Glencross,2014-15,"CGY,WSH",L,L,71,13,22,35,+2,45,0.49,9,24,4,11,0,0,0,1,108,12.0,15:39,44.4
Brian Gionta,2014-15,BUF,R,R,69,13,22,35,-13,18,0.51,9,25,3,9,1,1,0,2,153,8.5,18:03,40.8
Charlie Coyle,2014-15,MIN,R,C,82,11,24,35,+13,39,0.43,10,32,1,3,0,0,0,4,120,9.2,14:33,46.5
Johnny Boychuk,2014-15,NYI,R,D,72,9,26,35,+15,14,0.49,4,19,5,15,0,1,1,1,192,4.7,21:41,100.0
Benoit Pouliot,2014-15,EDM,L,L,58,19,15,34,-1,28,0.59,14,26,4,7,1,1,0,3,105,18.1,16:37,38.2
Joel Ward,2014-15,WSH,R,R,82,19,15,34,-4,30,0.41,13,23,6,11,0,0,1,4,138,13.8,16:52,47.2
Lance Bouma,2014-15,CGY,L,L,78,16,18,34,+10,54,0.44,16,32,0,1,0,1,0,4,104,15.4,14:01,39.2
Kris Versteeg,2014-15,CHI,R,R,61,14,20,34,+11,35,0.56,12,29,2,5,0,0,0,1,134,10.5,15:51,31.3
Milan Michalek,2014-15,OTT,L,L,66,13,21,34,+3,33,0.52,7,23,5,10,1,1,0,1,130,10.0,16:22,47.8
