Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Jamie Benn,2014-15,DAL,L,L,82,35,52,87,+1,64,1.06,23,59,10,23,2,5,0,6,253,13.8,19:57,51.7
John Tavares,2014-15,NYI,L,C,82,38,48,86,+5,46,1.05,25,54,13,31,0,1,4,8,278,13.7,20:40,52.2
Sidney Crosby,2014-15,PIT,L,C,77,28,56,84,+5,47,1.09,18,53,10,31,0,0,1,3,237,11.8,19:58,49.9
Alex Ovechkin,2014-15,WSH,R,L,81,53,28,81,+10,58,1.00,28,47,25,34,0,0,0,11,395,13.4,20:20,40.0
Jakub Voracek,2014-15,PHI,L,R,82,22,59,81,+1,78,0.99,11,48,11,33,0,0,2,3,221,10.0,18:36,66.7
Nicklas Backstrom,2014-15,WSH,L,C,82,18,60,78,+5,40,0.95,15,45,3,33,0,0,1,3,153,11.8,20:32,53.6
Tyler Seguin,2014-15,DAL,R,C,71,37,40,77,-1,22,1.08,24,48,13,29,0,0,0,5,280,13.2,19:33,53.8
Jiri Hudler,2014-15,CGY,L,R,78,31,45,76,+17,14,0.97,25,60,6,16,0,0,1,5,158,19.6,18:01,45.7
Daniel Sedin,2014-15,VAN,L,L,82,20,56,76,+5,18,0.93,16,51,4,25,0,0,3,5,226,8.9,18:21,40.0
Vladimir Tarasenko,2014-15,STL,L,R,77,37,36,73,+27,31,0.95,29,55,8,18,0,0,2,6,264,14.0,17:37,0.0
Nick Foligno,2014-15,CBJ,L,L,79,31,42,73,+16,50,0.92,20,47,11,26,0,0,1,3,182,17.0,18:50,47.5
Claude Giroux,2014-15,PHI,R,R,81,25,48,73,-3,36,0.90,11,36,14,37,0,0,2,4,279,9.0,20:34,56.6
Henrik Sedin,2014-15,VAN,L,C,82,18,55,73,+11,22,0.89,13,48,5,25,0,0,0,0,101,17.8,18:37,45.0
Steven Stamkos,2014-15,TBL,R,C,82,43,29,72,+2,49,0.88,30,47,13,25,0,0,0,6,268,16.0,19:22,49.7
Tyler Johnson,2014-15,TBL,R,C,77,29,43,72,+33,24,0.94,21,55,8,17,0,0,2,6,203,14.3,17:14,48.7
Ryan Johansen,2014-15,CBJ,R,C,82,26,45,71,-6,40,0.87,17,43,7,26,2,2,0,0,202,12.9,19:30,52.0
Joe Pavelski,2014-15,SJS,R,C,82,37,33,70,+12,29,0.85,18,39,19,31,0,0,0,5,261,14.2,20:08,56.0
Evgeni Malkin,2014-15,PIT,L,C,69,28,42,70,-2,60,1.01,19,44,9,26,0,0,1,4,212,13.2,18:58,42.7
Ryan Getzlaf,2014-15,ANA,R,C,77,25,45,70,+15,62,0.91,22,55,3,13,0,2,2,6,191,13.1,20:06,50.6
Rick Nash,2014-15,NYR,L,L,79,42,27,69,+29,36,0.87,32,52,6,12,4,5,0,8,304,13.8,17:27,50.0
Max Pacioretty,2014-15,MTL,L,L,80,37,30,67,+38,32,0.84,27,51,7,11,3,5,2,10,302,12.3,19:24,22.2
Logan Couture,2014-15,SJS,L,C,82,27,40,67,-6,12,0.82,19,41,6,24,2,2,0,4,263,10.3,19:04,48.2
Jonathan Toews,2014-15,CHI,L,C,81,28,38,66,+30,36,0.81,20,46,6,17,2,3,1,7,192,14.6,19:34,56.5
Erik Karlsson,2014-15,OTT,R,D,82,21,45,66,+7,42,0.80,15,36,6,30,0,0,1,3,292,7.2,27:15,--
Henrik Zetterberg,2014-15,DET,L,C,77,17,49,66,-6,32,0.86,13,38,4,28,0,0,1,3,227,7.5,19:07,50.9
Nikita Kucherov,2014-15,TBL,L,R,82,29,36,65,+38,37,0.79,27,50,2,15,0,0,0,2,191,15.2,14:57,0.0
Pavel Datsyuk,2014-15,DET,L,C,63,26,39,65,+12,8,1.03,18,41,8,24,0,0,1,5,165,15.8,19:03,53.6
Joe Thornton,2014-15,SJS,L,C,78,16,49,65,-4,30,0.83,12,43,4,22,0,0,0,0,131,12.2,18:25,58.0
Patrick Kane,2014-15,CHI,L,R,61,27,37,64,+10,10,1.05,21,42,6,22,0,0,0,5,186,14.5,19:51,42.9
Mark Stone,2014-15,OTT,R,R,80,26,38,64,+21,14,0.80,20,50,5,13,1,1,2,6,157,16.6,17:01,38.9
Johnny Gaudreau,2014-15,CGY,L,L,80,24,40,64,+11,14,0.80,16,43,8,21,0,0,0,4,167,14.4,17:43,37.5
Kyle Turris,2014-15,OTT,R,C,82,24,40,64,+5,36,0.78,19,47,4,16,1,1,1,6,215,11.2,19:13,50.1
Alexander Steen,2014-15,STL,L,L,74,24,40,64,+8,33,0.86,16,40,8,24,0,0,1,5,223,10.8,19:59,50.4
Anze Kopitar,2014-15,LAK,L,C,79,16,48,64,-2,10,0.81,10,40,6,24,0,0,0,4,134,11.9,19:23,52.6
Radim Vrbata,2014-15,VAN,R,R,79,31,32,63,+6,20,0.80,19,40,12,23,0,0,0,7,267,11.6,16:37,55.6
Jaden Schwartz,2014-15,STL,L,C,75,28,35,63,+13,16,0.84,20,45,8,16,0,2,1,4,184,15.2,18:15,46.6
Filip Forsberg,2014-15,NSH,R,L,82,26,37,63,+15,24,0.77,20,44,6,19,0,0,2,6,237,11.0,17:20,42.9
Jordan Eberle,2014-15,EDM,R,R,81,24,39,63,-16,24,0.78,18,42,6,21,0,0,0,2,183,13.1,19:03,16.7
Ondrej Palat,2014-15,TBL,L,L,75,16,47,63,+31,24,0.84,12,50,3,11,1,2,1,5,139,11.5,17:26,28.6
Zach Parise,2014-15,MIN,L,L,74,33,29,62,+21,41,0.84,22,46,11,16,0,0,0,3,259,12.7,19:11,16.7
Sean Monahan,2014-15,CGY,L,C,81,31,31,62,+8,12,0.77,20,41,10,19,1,2,3,8,191,16.2,19:37,49.3
Jeff Carter,2014-15,LAK,R,C,82,28,34,62,+7,28,0.76,17,45,10,15,1,2,0,5,218,12.8,17:58,52.6
Andrew Ladd,2014-15,WPG,L,L,81,24,38,62,+9,72,0.77,15,42,9,19,0,1,1,6,224,10.7,20:04,35.0
Jason Spezza,2014-15,DAL,R,C,82,17,45,62,-7,28,0.76,13,36,4,26,0,0,0,1,204,8.3,17:13,54.0
Mike Ribeiro,2014-15,NSH,L,C,82,15,47,62,+11,62,0.76,14,50,1,12,0,0,0,3,96,15.6,18:45,43.2
Blake Wheeler,2014-15,WPG,R,R,79,26,35,61,+26,73,0.77,20,44,2,12,4,5,0,6,244,10.7,19:40,45.8
Phil Kessel,2014-15,TOR,R,R,82,25,36,61,-34,30,0.74,17,36,8,25,0,0,1,4,280,8.9,18:48,40.0
Marian Hossa,2014-15,CHI,L,R,82,22,39,61,+17,32,0.74,15,43,6,17,1,1,0,2,247,8.9,18:33,57.1
Scott Hartnell,2014-15,CBJ,L,L,77,28,32,60,+1,100,0.78,20,44,8,16,0,0,0,2,204,13.7,17:18,50.0
Tomas Plekanec,2014-15,MTL,L,C,82,26,34,60,+8,46,0.73,16,40,7,16,3,4,0,5,248,10.5,19:09,49.9
Derick Brassard,2014-15,NYR,L,C,80,19,41,60,+9,34,0.75,13,42,6,18,0,0,2,3,168,11.3,17:24,48.8
Brent Burns,2014-15,SJS,R,D,82,17,43,60,-9,65,0.73,10,36,7,24,0,0,1,2,245,6.9,23:57,--
P.K. Subban,2014-15,MTL,R,D,82,15,45,60,+21,74,0.73,7,39,8,21,0,0,1,5,170,8.8,26:12,--
Jarome Iginla,2014-15,COL,R,R,82,29,30,59,0,42,0.72,21,46,8,13,0,0,0,2,189,15.3,18:08,44.5
Gabriel Landeskog,2014-15,COL,L,L,82,23,36,59,-2,79,0.72,15,42,8,17,0,0,0,2,214,10.8,18:30,35.6
David Backes,2014-15,STL,R,R,80,26,32,58,+7,104,0.73,16,42,10,16,0,0,0,3,183,14.2,18:38,54.6
Patrick Marleau,2014-15,SJS,L,C,82,19,38,57,-17,12,0.70,12,33,7,24,0,0,0,4,233,8.2,19:35,48.0
Tomas Tatar,2014-15,DET,L,L,82,29,27,56,+6,28,0.68,20,37,9,19,0,0,0,7,211,13.7,16:13,50.0
James van Riemsdyk,2014-15,TOR,L,L,82,27,29,56,-33,43,0.68,17,36,9,19,1,1,1,4,248,10.9,19:05,38.9
Ryan Nugent-Hopkins,2014-15,EDM,L,C,76,24,32,56,-12,25,0.74,22,41,2,14,0,1,1,2,189,12.7,20:38,45.7
Dennis Wideman,2014-15,CGY,R,D,80,15,41,56,+6,34,0.70,9,35,6,21,0,0,1,2,173,8.7,24:39,--
Corey Perry,2014-15,ANA,R,R,67,33,22,55,+13,67,0.82,29,48,4,7,0,0,1,3,193,17.1,18:06,25.0
Patrice Bergeron,2014-15,BOS,R,C,81,23,32,55,+2,44,0.68,18,39,4,14,1,2,1,4,234,9.8,18:08,60.2
Alex Tanguay,2014-15,COL,L,L,80,22,33,55,-1,40,0.69,19,40,2,14,1,1,0,4,104,21.2,18:10,42.9
Matt Duchene,2014-15,COL,L,C,82,21,34,55,+3,16,0.67,19,48,2,7,0,0,0,4,207,10.1,18:34,52.2
T.J. Oshie,2014-15,STL,R,R,72,19,36,55,+17,51,0.76,16,42,3,13,0,0,1,4,162,11.7,18:50,23.1
Ryan O'Reilly,2014-15,COL,L,C,82,17,38,55,-5,12,0.67,14,41,2,12,1,2,1,1,171,9.9,19:43,53.5
Derek Stepan,2014-15,NYR,R,C,68,16,39,55,+26,22,0.81,11,40,3,10,2,5,1,3,155,10.3,18:11,44.1
Roman Josi,2014-15,NSH,L,D,81,15,40,55,+15,26,0.68,12,37,3,15,0,3,1,4,201,7.5,26:28,0.0
John Carlson,2014-15,WSH,R,D,82,12,43,55,+11,28,0.67,8,38,3,16,1,1,0,3,193,6.2,23:04,--
Gustav Nyquist,2014-15,DET,L,C,82,27,27,54,-11,26,0.66,13,30,14,24,0,0,1,4,195,13.9,16:39,11.1
Ryan Callahan,2014-15,TBL,R,R,77,24,30,54,+9,41,0.70,14,38,10,16,0,0,0,4,191,12.6,17:44,48.4
Eric Staal,2014-15,CAR,L,C,77,23,31,54,-13,41,0.70,16,37,7,17,0,0,0,4,244,9.4,18:51,51.3
Bobby Ryan,2014-15,OTT,R,R,78,18,36,54,+5,24,0.69,14,40,4,14,0,0,1,5,221,8.1,17:28,36.4
Jason Pominville,2014-15,MIN,R,R,82,18,36,54,+9,8,0.66,15,40,3,14,0,0,0,4,252,7.1,18:17,44.8
Jonathan Huberdeau,2014-15,FLA,L,C,79,15,39,54,+10,38,0.68,15,42,0,12,0,0,0,0,169,8.9,16:45,25.0
Kris Letang,2014-15,PIT,R,D,69,11,43,54,+12,79,0.78,8,29,2,24,1,1,0,1,197,5.6,25:29,0.0
Tyson Barrie,2014-15,COL,R,D,80,12,41,53,+5,26,0.66,10,37,2,16,0,0,0,0,139,8.6,21:22,--
Bryan Little,2014-15,WPG,R,C,70,24,28,52,+8,24,0.74,14,33,9,18,1,1,1,3,148,16.2,19:55,49.1
Brandon Saad,2014-15,CHI,L,L,82,23,29,52,+7,12,0.63,21,42,2,10,0,0,1,6,203,11.3,17:15,43.2
Thomas Vanek,2014-15,MIN,R,L,80,21,31,52,-6,37,0.65,16,35,5,17,0,0,0,2,171,12.3,16:13,50.0
Martin St. Louis,2014-15,NYR,L,R,74,21,31,52,+12,20,0.70,16,39,5,13,0,0,0,1,144,14.6,17:34,46.4
Mark Streit,2014-15,PHI,L,D,81,9,43,52,-8,36,0.64,5,22,4,30,0,0,0,0,144,6.3,22:22,--
Keith Yandle,2014-15,"ARI,NYR",L,D,84,6,46,52,-26,40,0.62,4,23,2,29,0,0,0,2,232,2.6,22:55,--
Patric Hornqvist,2014-15,PIT,R,R,64,25,26,51,+12,38,0.80,19,36,6,15,0,0,1,4,220,11.4,17:39,28.6
Kyle Okposo,2014-15,NYI,R,R,60,18,33,51,-8,12,0.85,12,33,6,18,0,0,0,2,195,9.2,19:33,49.7
