Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,2021-22,EDM,L,C,80,44,79,123,+28,45,1.54,34,78,10,44,0,1,4,9,314,14.0,22:04,53.7
Johnny Gaudreau,2021-22,CGY,L,L,82,40,75,115,+64,26,1.40,34,90,6,25,0,0,2,9,262,15.3,18:34,100.0
Jonathan Huberdeau,2021-22,FLA,L,C,80,30,85,115,+35,54,1.44,22,72,5,38,3,5,2,7,222,13.5,19:25,33.3
Leon Draisaitl,2021-22,EDM,L,C,80,55,55,110,+17,40,1.38,30,68,24,41,1,1,1,11,278,19.8,22:21,53.4
Kirill Kaprizov,2021-22,MIN,L,L,81,47,61,108,+27,34,1.33,33,77,14,31,0,0,2,5,289,16.3,19:06,55.6
Auston Matthews,2021-22,TOR,L,C,73,60,46,106,+20,18,1.45,44,77,16,29,0,0,2,10,348,17.2,20:37,56.2
Steven Stamkos,2021-22,TBL,R,C,81,42,64,106,+24,36,1.31,26,70,16,36,0,0,3,11,241,17.4,18:29,51.0
Matthew Tkachuk,2021-22,CGY,L,L,82,42,62,104,+57,68,1.27,30,75,12,29,0,0,0,6,253,16.6,17:54,46.5
J.T. Miller,2021-22,VAN,L,C,80,32,67,99,+15,47,1.24,24,59,8,38,0,2,3,6,206,15.5,21:05,54.1
Mitchell Marner,2021-22,TOR,R,R,72,35,62,97,+23,16,1.35,26,68,6,25,3,4,1,5,224,15.6,20:53,55.6
Roman Josi,2021-22,NSH,L,D,80,23,73,96,+13,46,1.20,12,59,11,37,0,0,0,2,281,8.2,25:33,--
Artemi Panarin,2021-22,NYR,R,L,75,22,74,96,+21,18,1.28,17,59,5,37,0,0,1,5,177,12.4,19:13,50.0
Kyle Connor,2021-22,WPG,L,L,79,47,46,93,-3,4,1.18,36,62,8,28,3,3,1,9,317,14.8,21:47,14.3
Mikko Rantanen,2021-22,COL,L,R,75,36,56,92,+35,56,1.23,20,57,16,35,0,0,0,2,254,14.2,20:59,46.3
Patrick Kane,2021-22,CHI,L,R,78,26,66,92,-19,18,1.18,17,61,9,31,0,0,0,2,287,9.1,21:49,50.0
Alex Ovechkin,2021-22,WSH,R,L,77,50,40,90,+8,18,1.17,33,60,16,29,1,1,0,5,334,15.0,20:34,30.8
Aleksander Barkov,2021-22,FLA,L,C,67,39,49,88,+36,18,1.31,23,57,12,26,4,5,2,5,214,18.2,20:18,57.0
Nathan MacKinnon,2021-22,COL,R,C,65,32,56,88,+22,42,1.35,25,61,7,27,0,0,1,5,299,10.7,21:04,45.4
Nazem Kadri,2021-22,COL,L,C,71,28,59,87,+13,71,1.23,20,58,8,29,0,0,0,6,247,11.3,19:14,49.7
Matt Duchene,2021-22,NSH,L,C,78,43,43,86,+6,38,1.10,27,57,16,29,0,0,3,6,228,18.9,19:01,54.1
Cale Makar,2021-22,COL,R,D,77,28,58,86,+48,26,1.12,19,52,9,34,0,0,3,6,240,11.7,25:40,--
Kevin Fiala,2021-22,MIN,L,L,82,33,52,85,+23,52,1.04,27,67,5,17,1,1,1,7,262,12.6,17:39,26.7
Victor Hedman,2021-22,TBL,L,D,82,20,65,85,+26,36,1.04,14,47,6,38,0,0,1,6,219,9.1,25:05,--
Filip Forsberg,2021-22,NSH,R,L,69,42,42,84,+12,22,1.22,32,57,10,27,0,0,1,8,226,18.6,18:06,100.0
Jake Guentzel,2021-22,PIT,L,L,76,40,44,84,+13,44,1.11,33,62,7,22,0,0,1,7,264,15.2,20:06,52.0
Sidney Crosby,2021-22,PIT,L,C,69,31,53,84,+19,32,1.22,23,54,8,30,0,0,1,9,208,14.9,19:58,52.4
Elias Lindholm,2021-22,CGY,R,C,82,42,40,82,+61,22,1.00,31,61,10,19,1,2,2,9,235,17.9,19:57,52.9
Vladimir Tarasenko,2021-22,STL,L,R,75,34,48,82,+7,32,1.09,29,59,5,22,0,1,0,9,230,14.8,16:55,36.4
Sam Reinhart,2021-22,FLA,R,C,78,33,49,82,+25,13,1.05,17,49,16,31,0,2,0,6,186,17.7,17:46,48.5
Sebastian Aho,2021-22,CAR,L,C,79,37,44,81,+18,38,1.03,23,50,13,28,1,3,2,9,221,16.7,18:57,52.4
Mika Zibanejad,2021-22,NYR,R,C,81,29,52,81,+30,12,1.00,13,48,15,28,1,5,0,3,219,13.2,19:38,52.3
Joe Pavelski,2021-22,DAL,R,C,82,27,54,81,+11,14,0.99,15,56,12,25,0,0,0,2,216,12.5,18:28,52.5
William Nylander,2021-22,TOR,R,R,81,34,46,80,-9,16,0.99,21,49,13,31,0,0,2,7,256,13.3,18:16,52.3
Brad Marchand,2021-22,BOS,L,L,70,32,48,80,+16,97,1.14,23,51,7,27,2,2,1,6,242,13.2,19:15,34.2
Jason Robertson,2021-22,DAL,L,L,74,41,38,79,+16,22,1.07,28,58,13,21,0,0,2,11,220,18.6,18:07,--
Mats Zuccarello,2021-22,MIN,L,R,70,24,55,79,+21,24,1.13,17,51,7,28,0,0,0,2,159,15.1,18:35,38.2
Alex DeBrincat,2021-22,CHI,R,R,82,41,37,78,-13,19,0.95,27,50,14,28,0,0,4,6,270,15.2,20:51,37.5
Evgeny Kuznetsov,2021-22,WSH,L,C,79,24,54,78,+7,44,0.99,13,46,8,27,3,5,0,4,208,11.5,20:17,43.5
Chris Kreider,2021-22,NYR,L,L,81,52,25,77,+19,24,0.95,23,39,26,35,3,3,0,11,258,20.2,18:44,48.9
David Pastrnak,2021-22,BOS,R,R,72,40,37,77,+13,20,1.07,25,51,15,26,0,0,1,9,312,12.8,18:36,33.3
Robert Thomas,2021-22,STL,R,C,72,20,57,77,+17,16,1.07,15,60,3,14,2,3,1,6,115,17.4,18:46,49.9
Timo Meier,2021-22,SJS,L,R,77,35,41,76,-3,54,0.99,23,58,12,18,0,0,1,8,326,10.7,19:09,48.7
Pavel Buchnevich,2021-22,STL,L,L,73,30,46,76,+29,34,1.04,20,53,8,19,2,4,1,3,199,15.1,18:18,33.3
John Tavares,2021-22,TOR,L,C,79,27,49,76,-8,32,0.96,17,50,10,26,0,0,0,3,237,11.4,18:04,60.6
Jordan Kyrou,2021-22,STL,R,C,74,27,48,75,+10,20,1.01,22,55,5,19,0,1,0,4,188,14.4,16:35,40.0
Adam Fox,2021-22,NYR,R,D,78,11,63,74,+18,26,0.95,10,39,0,33,1,2,1,2,158,7.0,23:54,--
Jesper Bratt,2021-22,NJD,L,L,76,26,47,73,0,16,0.96,23,55,3,18,0,0,0,6,197,13.2,17:26,0.0
Roope Hintz,2021-22,DAL,L,C,80,37,35,72,+15,28,0.90,25,44,9,24,3,4,1,7,213,17.4,18:02,53.0
John Carlson,2021-22,WSH,R,D,78,17,54,71,+13,20,0.91,10,43,7,25,0,3,0,2,195,8.7,23:49,--
Mark Scheifele,2021-22,WPG,R,C,67,29,41,70,-17,23,1.04,22,51,7,19,0,0,2,3,159,18.2,21:08,50.7
Dylan Larkin,2021-22,DET,L,C,71,31,38,69,-18,47,0.97,25,55,6,13,0,1,3,4,212,14.6,19:39,52.3
Andrei Svechnikov,2021-22,CAR,L,R,78,30,39,69,+19,79,0.88,21,47,9,22,0,0,1,5,249,12.1,17:16,0.0
Nikita Kucherov,2021-22,TBL,L,R,47,25,44,69,+1,22,1.47,16,39,9,30,0,0,0,1,156,16.0,19:59,100.0
Tage Thompson,2021-22,BUF,R,C,78,38,30,68,-17,37,0.87,26,50,10,16,2,2,1,4,253,15.0,17:53,40.3
Elias Pettersson,2021-22,VAN,L,C,80,32,36,68,+1,12,0.85,20,39,10,27,2,2,0,3,192,16.7,18:36,44.1
Morgan Rielly,2021-22,TOR,L,D,82,10,58,68,+16,40,0.83,8,42,2,23,0,3,0,3,221,4.5,23:44,--
Kris Letang,2021-22,PIT,R,D,78,10,58,68,+20,49,0.87,8,46,2,22,0,0,2,3,214,4.7,25:47,--
Quinn Hughes,2021-22,VAN,L,D,76,8,60,68,+10,28,0.89,8,35,0,31,0,2,1,1,150,5.3,25:15,--
Troy Terry,2021-22,ANA,R,R,75,37,30,67,-11,26,0.89,29,52,8,15,0,0,2,7,192,19.3,18:14,11.1
Brady Tkachuk,2021-22,OTT,L,L,79,30,37,67,-7,117,0.85,21,50,9,17,0,0,1,3,288,10.4,18:48,50.1
Anze Kopitar,2021-22,LAK,L,C,81,19,48,67,-6,14,0.83,13,44,6,22,0,1,0,4,210,9.1,20:46,56.9
Jonathan Marchessault,2021-22,VGK,R,R,76,30,36,66,+3,36,0.87,25,46,5,20,0,0,0,4,251,12.0,17:34,43.0
Ryan Hartman,2021-22,MIN,R,R,82,34,31,65,+31,95,0.79,33,57,1,8,0,0,1,7,239,14.2,18:11,44.8
Patrice Bergeron,2021-22,BOS,R,C,73,25,40,65,+26,32,0.89,17,39,8,23,0,3,0,4,293,8.5,18:10,61.9
Teuvo Teravainen,2021-22,CAR,L,L,77,22,43,65,+22,24,0.84,11,31,9,31,2,3,0,2,202,10.9,17:42,54.6
Claude Giroux,2021-22,"PHI,FLA",R,R,75,21,44,65,-5,26,0.87,16,42,5,23,0,0,0,0,205,10.2,19:04,60.3
Tomas Hertl,2021-22,SJS,L,C,82,30,34,64,-9,30,0.78,24,47,6,16,0,1,3,6,205,14.6,19:56,52.5
Chandler Stephenson,2021-22,VGK,L,C,79,21,43,64,+5,26,0.81,14,48,6,14,1,2,0,3,125,16.8,19:19,52.0
Mikael Granlund,2021-22,NSH,L,C,80,11,53,64,-9,33,0.80,8,36,3,28,0,0,0,3,117,9.4,20:25,47.2
Jeff Skinner,2021-22,BUF,L,L,80,33,30,63,-14,42,0.79,28,52,5,11,0,0,0,4,262,12.6,17:06,40.6
Clayton Keller,2021-22,ARI,L,R,67,28,35,63,+3,28,0.94,22,50,5,11,1,2,2,2,177,15.8,20:08,42.7
Ryan Johansen,2021-22,NSH,R,C,79,26,37,63,-2,53,0.80,15,39,11,24,0,0,1,6,118,22.0,16:34,52.6
Michael Bunting,2021-22,TOR,L,L,79,23,40,63,+27,80,0.80,21,58,2,5,0,0,0,2,175,13.1,15:33,50.0
Tyler Bertuzzi,2021-22,DET,L,L,68,30,32,62,-11,47,0.91,23,46,6,14,1,2,0,5,180,16.7,19:52,26.1
Jakub Voracek,2021-22,CBJ,L,R,79,6,56,62,-13,44,0.78,4,37,2,25,0,0,1,2,147,4.1,17:28,15.2
Trevor Zegras,2021-22,ANA,L,C,75,23,38,61,-21,50,0.81,14,44,9,17,0,0,1,5,181,12.7,17:54,39.9
Andre Burakovsky,2021-22,COL,L,L,80,22,39,61,+12,18,0.76,18,50,4,11,0,0,0,5,149,14.8,16:16,40.0
Nick Suzuki,2021-22,MTL,R,C,82,21,40,61,-29,30,0.74,12,38,8,20,1,3,0,4,186,11.3,20:31,49.6
Taylor Hall,2021-22,BOS,L,L,81,20,41,61,+11,42,0.75,13,46,7,15,0,0,1,3,217,9.2,16:25,46.2
Pierre-Luc Dubois,2021-22,WPG,L,C,81,28,32,60,-6,106,0.74,13,41,15,19,0,0,1,6,233,12.0,18:55,46.9
Ivan Barbashev,2021-22,STL,L,C,81,26,34,60,+4,40,0.74,21,49,4,9,1,2,0,2,111,23.4,16:26,39.9
Nico Hischier,2021-22,NJD,L,C,70,21,39,60,-1,17,0.86,17,46,4,12,0,2,1,2,153,13.7,19:21,52.1
Blake Wheeler,2021-22,WPG,R,R,65,17,43,60,-15,36,0.92,14,40,3,20,0,0,0,2,167,10.2,19:32,19.1
Brock Nelson,2021-22,NYI,L,C,72,37,22,59,-5,33,0.82,26,45,11,14,0,0,0,5,171,21.6,17:41,49.4
Gabriel Landeskog,2021-22,COL,L,L,51,30,29,59,+27,78,1.16,23,44,7,15,0,0,1,5,150,20.0,20:19,54.9
Alex Killorn,2021-22,TBL,L,L,82,25,34,59,+1,66,0.72,19,45,6,14,0,0,0,2,164,15.2,18:42,16.7
Nick Schmaltz,2021-22,ARI,R,C,63,23,36,59,+1,14,0.94,19,51,4,8,0,0,0,4,123,18.7,18:15,47.7
Mathew Barzal,2021-22,NYI,R,C,73,15,44,59,-15,18,0.81,14,39,1,20,0,0,0,1,161,9.3,18:01,46.3
