Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Nikita Kucherov,2018-19,TBL,L,R,82,41,87,128,+24,62,1.56,26,80,15,48,0,0,0,8,246,16.7,19:58,0.0
Connor McDavid,2018-19,EDM,L,C,78,41,75,116,+3,20,1.49,31,81,9,33,1,2,3,9,240,17.1,22:50,46.6
Patrick Kane,2018-19,CHI,L,R,81,44,66,110,+2,22,1.36,35,80,9,30,0,0,3,7,341,12.9,22:29,20.0
Leon Draisaitl,2018-19,EDM,L,C,82,50,55,105,+2,52,1.28,31,73,16,29,3,3,3,5,231,21.7,22:35,50.5
Brad Marchand,2018-19,BOS,L,L,79,36,64,100,+15,96,1.27,23,59,10,34,3,7,3,9,231,15.6,19:37,42.9
Sidney Crosby,2018-19,PIT,L,C,79,35,65,100,+18,36,1.27,23,69,12,29,0,2,1,3,220,15.9,21:00,55.4
Nathan MacKinnon,2018-19,COL,R,C,82,41,58,99,+20,34,1.21,29,62,12,37,0,0,1,6,365,11.2,22:05,43.7
Johnny Gaudreau,2018-19,CGY,L,L,82,36,63,99,+18,24,1.21,30,72,6,27,0,0,3,8,245,14.7,20:04,33.3
Steven Stamkos,2018-19,TBL,R,C,82,45,53,98,+4,37,1.20,24,56,19,40,2,2,0,6,234,19.2,18:18,53.1
Aleksander Barkov,2018-19,FLA,L,C,82,35,61,96,-3,8,1.17,22,64,13,31,0,1,2,5,206,17.0,22:21,53.7
Mitchell Marner,2018-19,TOR,R,R,82,26,68,94,+22,22,1.15,22,70,3,21,1,3,0,5,233,11.2,19:49,63.6
Brayden Point,2018-19,TBL,R,C,79,41,51,92,+27,28,1.16,21,57,20,35,0,0,2,7,191,21.5,18:55,50.8
Jonathan Huberdeau,2018-19,FLA,L,C,82,30,62,92,-14,40,1.12,19,58,11,34,0,0,0,5,226,13.3,18:51,63.2
Blake Wheeler,2018-19,WPG,R,R,82,20,71,91,0,60,1.11,16,55,2,33,2,3,0,3,231,8.7,20:43,35.2
Alex Ovechkin,2018-19,WSH,R,L,81,51,38,89,+7,40,1.10,33,61,18,28,0,0,0,5,338,15.1,20:55,20.0
John Tavares,2018-19,TOR,L,C,82,47,41,88,+19,34,1.07,37,69,10,19,0,0,1,8,286,16.4,19:05,54.5
Mikko Rantanen,2018-19,COL,L,R,74,31,56,87,+13,54,1.18,15,54,16,33,0,0,1,4,193,16.1,20:51,37.0
Artemi Panarin,2018-19,CBJ,R,L,79,28,59,87,+14,23,1.10,22,69,6,18,0,0,4,8,191,14.7,19:51,25.0
Claude Giroux,2018-19,PHI,R,R,82,22,63,85,+9,24,1.04,19,61,2,23,1,1,1,4,229,9.6,21:27,57.9
Mark Scheifele,2018-19,WPG,R,C,82,38,46,84,+8,38,1.02,26,58,12,23,0,3,3,6,199,19.1,21:52,46.3
Sebastian Aho,2018-19,CAR,L,C,82,30,53,83,+25,26,1.01,23,54,3,24,4,5,3,7,243,12.4,20:09,48.6
Brent Burns,2018-19,SJS,R,D,82,16,67,83,+13,34,1.01,8,50,7,28,1,5,2,6,300,5.3,25:06,0.0
Sean Monahan,2018-19,CGY,L,C,78,34,48,82,+7,12,1.05,22,59,12,23,0,0,0,5,211,16.1,19:03,51.1
Jack Eichel,2018-19,BUF,R,C,77,28,54,82,-11,26,1.06,20,56,8,26,0,0,2,2,303,9.2,20:26,47.0
Phil Kessel,2018-19,PIT,R,R,82,27,55,82,-19,28,1.00,15,46,12,36,0,0,2,10,215,12.6,17:59,44.4
David Pastrnak,2018-19,BOS,R,R,66,38,43,81,+6,32,1.23,21,48,17,33,0,0,0,4,235,16.2,18:45,33.3
Jonathan Toews,2018-19,CHI,L,C,82,35,46,81,+2,40,0.99,25,57,9,23,1,1,2,5,235,14.9,21:00,56.3
