Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Tyler Seguin,2018-19,DAL,R,C,82,33,47,80,+17,18,0.98,24,53,9,27,0,0,2,8,334,9.9,20:45,53.9
Patrice Bergeron,2018-19,BOS,R,C,65,32,47,79,+23,30,1.22,19,45,9,27,4,7,1,3,205,15.6,18:28,56.6
Elias Lindholm,2018-19,CGY,R,C,81,27,51,78,+30,20,0.96,17,48,9,26,1,4,0,5,182,14.8,20:02,54.3
Matthew Tkachuk,2018-19,CGY,L,L,80,34,43,77,+14,62,0.96,23,53,11,24,0,0,0,2,207,16.4,17:36,46.2
Ryan O'Reilly,2018-19,STL,L,C,82,28,49,77,+22,12,0.94,21,52,6,22,1,3,2,5,234,12.0,20:46,56.9
Alex DeBrincat,2018-19,CHI,R,R,82,41,35,76,0,15,0.93,28,52,13,24,0,0,1,3,220,18.6,17:42,45.7
Jake Guentzel,2018-19,PIT,L,L,82,40,36,76,+13,26,0.93,33,64,6,11,1,1,1,4,227,17.6,19:21,33.3
Sean Couturier,2018-19,PHI,L,C,80,33,43,76,+2,34,0.95,24,58,8,17,1,1,1,5,223,14.8,22:08,57.1
Teuvo Teravainen,2018-19,CAR,L,L,82,21,55,76,+30,12,0.93,12,47,8,24,1,5,1,1,167,12.6,17:55,41.9
Gabriel Landeskog,2018-19,COL,L,L,73,34,41,75,+17,51,1.03,24,48,10,27,0,0,0,9,243,14.0,21:09,52.0
Tomas Hertl,2018-19,SJS,L,C,77,35,39,74,+5,18,0.96,23,57,11,15,1,2,1,5,176,19.9,19:01,51.5
Mika Zibanejad,2018-19,NYR,R,C,82,30,44,74,-12,47,0.90,17,49,11,23,2,2,0,5,236,12.7,20:34,49.7
Nicklas Backstrom,2018-19,WSH,L,C,80,22,52,74,+2,30,0.93,15,49,7,25,0,0,1,5,169,13.0,19:57,48.6
Mark Giordano,2018-19,CGY,L,D,78,17,57,74,+39,69,0.95,10,47,3,21,4,6,0,2,221,7.7,24:14,--
Auston Matthews,2018-19,TOR,L,C,68,37,36,73,-9,12,1.07,25,53,12,20,0,0,2,5,251,14.7,18:33,52.1
Mark Stone,2018-19,"OTT,VGK",R,R,77,33,40,73,+17,27,0.95,26,52,6,20,1,1,1,4,199,16.6,19:53,45.2
Dylan Larkin,2018-19,DET,L,C,76,32,41,73,-6,75,0.96,23,55,7,15,2,3,4,4,287,11.2,21:51,54.5
David Krejci,2018-19,BOS,R,C,81,20,53,73,+7,16,0.90,14,57,6,16,0,0,1,4,139,14.4,17:41,48.4
Alexander Radulov,2018-19,DAL,L,R,70,29,43,72,+22,54,1.03,22,49,7,23,0,0,1,7,209,13.9,19:47,37.5
Max Domi,2018-19,MTL,L,C,82,28,44,72,+20,80,0.88,24,61,4,11,0,0,0,2,203,13.8,17:23,44.9
Evgeny Kuznetsov,2018-19,WSH,L,C,76,21,51,72,+7,50,0.95,13,49,8,23,0,0,2,3,193,10.9,18:47,38.7
Evgeni Malkin,2018-19,PIT,L,C,68,21,51,72,-25,89,1.06,12,46,9,26,0,0,0,5,187,11.2,18:48,45.7
Morgan Rielly,2018-19,TOR,L,D,82,20,52,72,+24,14,0.88,17,51,3,21,0,0,2,5,223,9.0,23:07,0.0
Mike Hoffman,2018-19,FLA,L,C,82,36,34,70,-24,30,0.85,19,35,17,35,0,0,3,6,253,14.2,17:50,34.2
Matt Duchene,2018-19,"OTT,CBJ",L,C,73,31,39,70,-3,8,0.96,25,56,6,14,0,0,0,1,172,18.0,18:50,55.3
Evgenii Dadonov,2018-19,FLA,L,R,82,28,42,70,-6,8,0.85,20,53,8,17,0,0,0,4,195,14.4,18:22,40.0
Logan Couture,2018-19,SJS,L,C,81,27,43,70,-6,22,0.86,19,50,6,18,2,2,0,3,204,13.2,18:36,46.3
John Carlson,2018-19,WSH,R,D,80,13,57,70,+21,34,0.88,10,37,3,33,0,0,0,1,185,7.0,25:04,--
Cam Atkinson,2018-19,CBJ,R,R,80,41,28,69,+3,20,0.86,29,51,8,14,4,4,0,8,295,13.9,19:23,31.6
Ryan Nugent-Hopkins,2018-19,EDM,L,C,82,28,41,69,-13,26,0.84,19,40,8,26,1,3,0,3,208,13.5,20:06,45.1
Vladimir Tarasenko,2018-19,STL,L,R,76,33,35,68,+8,22,0.89,21,46,12,22,0,0,1,5,275,12.0,18:24,66.7
Kyle Connor,2018-19,WPG,L,L,82,34,32,66,-7,18,0.80,22,46,11,19,1,1,0,5,227,15.0,19:15,61.5
Timo Meier,2018-19,SJS,L,R,78,30,36,66,+9,55,0.85,24,55,6,10,0,1,2,2,250,12.0,16:58,31.6
Elias Pettersson,2018-19,VAN,L,C,71,28,38,66,+3,12,0.93,18,44,10,22,0,0,1,7,144,19.4,18:14,41.0
Jakub Voracek,2018-19,PHI,L,R,78,20,46,66,-16,25,0.85,16,48,4,18,0,0,0,2,210,9.5,18:40,40.0
Sam Reinhart,2018-19,BUF,R,C,82,22,43,65,-10,16,0.79,20,50,2,15,0,0,0,1,180,12.2,18:57,35.6
Joe Pavelski,2018-19,SJS,R,C,75,38,26,64,-4,22,0.85,25,42,12,21,1,1,1,6,188,20.2,19:03,53.2
Ryan Johansen,2018-19,NSH,R,C,80,14,50,64,+7,42,0.80,13,46,0,16,1,2,1,6,136,10.3,19:33,53.5
Jeff Skinner,2018-19,BUF,L,L,82,40,23,63,0,36,0.77,32,47,8,16,0,0,3,7,268,14.9,18:31,52.2
Mathew Barzal,2018-19,NYI,R,C,82,18,44,62,-5,46,0.76,15,44,3,18,0,0,1,3,179,10.1,17:55,41.6
Keith Yandle,2018-19,FLA,L,D,82,9,53,62,-17,50,0.76,2,23,7,39,0,0,0,2,199,4.5,22:27,--
Zach Parise,2018-19,MIN,L,L,74,28,33,61,-2,26,0.82,18,43,10,16,0,2,0,5,229,12.2,18:40,26.5
Pierre-Luc Dubois,2018-19,CBJ,L,C,82,27,34,61,+16,64,0.74,25,52,2,9,0,0,1,5,174,15.5,17:43,43.5
Bo Horvat,2018-19,VAN,L,C,82,27,34,61,-4,33,0.74,18,40,7,18,2,3,2,3,227,11.9,20:50,53.7
Gustav Nyquist,2018-19,"DET,SJS",L,C,81,22,38,60,+1,12,0.74,20,48,2,12,0,0,1,3,204,10.8,17:31,50.0
Anze Kopitar,2018-19,LAK,L,C,81,22,38,60,-20,30,0.74,19,39,1,19,2,2,0,3,156,14.1,22:18,55.1
Erik Gustafsson,2018-19,CHI,L,D,79,17,43,60,-6,34,0.76,13,42,4,18,0,0,2,3,160,10.6,22:35,--
Jonathan Marchessault,2018-19,VGK,R,R,82,25,34,59,+2,52,0.72,20,43,5,16,0,0,1,6,278,9.0,18:09,37.3
Tyson Barrie,2018-19,COL,R,D,78,14,45,59,-3,36,0.76,12,34,2,25,0,0,0,2,218,6.4,21:47,--
Tomas Tatar,2018-19,MTL,L,L,80,25,33,58,+21,34,0.73,21,50,4,8,0,0,0,4,195,12.8,16:25,25.6
Dylan Strome,2018-19,"ARI,CHI",L,C,78,20,37,57,-8,20,0.73,14,41,6,16,0,0,0,3,145,13.8,16:09,48.4
Evander Kane,2018-19,SJS,L,L,75,30,26,56,-4,153,0.75,24,43,5,11,1,2,0,1,268,11.2,18:25,43.4
Brock Boeser,2018-19,VAN,R,R,69,26,30,56,-2,22,0.81,20,41,6,15,0,0,1,3,209,12.4,19:10,43.3
Ryan Dzingel,2018-19,"OTT,CBJ",L,C,78,26,30,56,-9,29,0.72,21,45,5,11,0,0,2,5,159,16.4,16:49,41.1
William Karlsson,2018-19,VGK,L,C,82,24,32,56,+1,16,0.68,16,39,7,14,1,3,0,5,169,14.2,18:51,47.7
Kevin Labanc,2018-19,SJS,R,R,82,17,39,56,-1,36,0.68,15,36,2,20,0,0,2,4,130,13.1,14:01,39.1
Josh Bailey,2018-19,NYI,L,R,82,16,40,56,+8,21,0.68,13,41,2,14,1,1,1,4,126,12.7,16:50,51.5
Kris Letang,2018-19,PIT,R,D,65,16,40,56,+13,48,0.86,13,35,2,19,1,2,1,3,206,7.8,25:58,--
Roman Josi,2018-19,NSH,L,D,82,15,41,56,+9,42,0.68,13,43,2,12,0,1,0,4,274,5.5,25:10,0.0
Kevin Hayes,2018-19,"NYR,WPG",L,R,71,19,36,55,-2,12,0.77,14,41,3,11,2,3,1,2,156,12.2,18:17,49.2
Thomas Chabot,2018-19,OTT,L,D,70,14,41,55,-12,32,0.79,12,38,1,16,1,1,1,2,185,7.6,24:17,--
Andreas Athanasiou,2018-19,DET,L,C,76,30,24,54,-9,38,0.71,27,43,3,11,0,0,1,4,216,13.9,16:58,42.9
T.J. Oshie,2018-19,WSH,R,R,69,25,29,54,+5,36,0.78,18,39,6,14,1,1,0,4,143,17.5,18:37,41.0
Brayden Schenn,2018-19,STL,L,C,72,17,37,54,+3,40,0.75,13,42,4,12,0,0,1,5,159,10.7,18:35,47.5
Mikael Granlund,2018-19,"MIN,NSH",L,C,79,16,38,54,-8,24,0.68,12,32,2,20,2,2,1,5,189,8.5,18:21,44.8
Victor Hedman,2018-19,TBL,L,D,70,12,42,54,+24,44,0.77,10,28,2,25,0,1,2,4,182,6.6,22:46,0.0
Jamie Benn,2018-19,DAL,L,L,78,27,26,53,+14,56,0.68,19,42,8,11,0,0,0,2,189,14.3,18:14,49.0
Brock Nelson,2018-19,NYI,L,C,82,25,28,53,+20,28,0.65,22,44,2,8,1,1,1,3,181,13.8,17:58,47.7
Nino Niederreiter,2018-19,"MIN,CAR",L,R,82,23,30,53,-4,30,0.65,17,38,6,15,0,0,0,3,184,12.5,16:14,55.2
Justin Williams,2018-19,CAR,R,R,82,23,30,53,-4,44,0.65,14,39,9,14,0,0,0,5,237,9.7,17:27,38.0
Reilly Smith,2018-19,VGK,L,R,74,19,34,53,+13,14,0.72,14,35,4,14,1,4,0,1,178,10.7,18:16,71.4
Jonathan Drouin,2018-19,MTL,L,L,81,18,35,53,-8,26,0.65,15,37,3,16,0,0,1,3,190,9.5,16:56,42.1
Phillip Danault,2018-19,MTL,L,C,81,12,41,53,+17,39,0.65,12,47,0,4,0,2,0,1,132,9.1,17:47,55.5
Torey Krug,2018-19,BOS,L,D,64,6,47,53,-2,33,0.83,4,23,2,30,0,0,1,2,151,4.0,21:18,--
Brendan Gallagher,2018-19,MTL,R,R,82,33,19,52,+10,49,0.63,29,45,4,7,0,0,0,4,302,10.9,16:24,45.1
Chris Kreider,2018-19,NYR,L,L,79,28,24,52,+4,57,0.66,21,40,7,12,0,0,0,2,201,13.9,17:24,37.5
Eric Staal,2018-19,MIN,L,C,81,22,30,52,-7,34,0.64,15,36,7,15,0,1,0,6,215,10.2,18:08,51.1
Alex Tuch,2018-19,VGK,R,R,74,20,32,52,+13,8,0.70,17,46,3,6,0,0,1,6,180,11.1,16:44,38.4
Anders Lee,2018-19,NYI,L,L,82,28,23,51,+20,58,0.62,18,35,10,16,0,0,0,5,204,13.7,17:05,48.4
Dustin Brown,2018-19,LAK,R,R,72,22,29,51,-17,24,0.71,12,37,9,12,1,2,2,3,180,12.2,20:24,5.9
Joe Thornton,2018-19,SJS,L,C,73,16,35,51,+8,20,0.70,13,36,3,15,0,0,0,4,90,17.8,15:33,52.7
Patrik Laine,2018-19,WPG,R,L,82,30,20,50,-24,42,0.61,15,27,15,23,0,0,0,3,245,12.2,17:14,36.7
Filip Forsberg,2018-19,NSH,R,L,64,28,22,50,+8,26,0.78,19,38,7,10,2,2,1,4,217,12.9,18:37,14.3
Kyle Palmieri,2018-19,NJD,R,C,74,27,23,50,-9,42,0.68,16,32,11,18,0,0,0,2,224,12.1,18:09,27.9
Jacob Trouba,2018-19,WPG,R,D,82,8,42,50,+8,58,0.61,4,29,3,18,1,3,1,1,162,4.9,22:53,--
Travis Konecny,2018-19,PHI,R,R,82,24,25,49,-4,40,0.60,20,41,4,8,0,0,1,3,182,13.2,15:16,31.8
Carl Soderberg,2018-19,COL,L,C,82,23,26,49,-5,26,0.60,18,36,2,10,3,3,0,2,188,12.2,17:27,49.4
Viktor Arvidsson,2018-19,NSH,R,R,58,34,14,48,+12,26,0.83,29,41,3,4,2,3,0,7,195,17.4,19:09,11.8
James van Riemsdyk,2018-19,PHI,L,L,66,27,21,48,-10,18,0.73,19,35,8,13,0,0,0,4,167,16.2,16:36,54.6
Anthony Mantha,2018-19,DET,L,R,67,25,23,48,-8,30,0.72,18,35,7,13,0,0,1,1,198,12.6,17:50,44.0
Yanni Gourde,2018-19,TBL,L,C,80,22,26,48,+9,66,0.60,16,37,5,9,1,2,1,5,130,16.9,15:50,53.4
Ryan Getzlaf,2018-19,ANA,R,C,67,14,34,48,-19,58,0.72,13,37,1,11,0,0,1,2,133,10.5,19:28,54.3
Chris Tierney,2018-19,OTT,L,C,81,9,39,48,-22,26,0.59,9,38,0,10,0,0,0,1,116,7.8,17:02,50.9
Tyler Johnson,2018-19,TBL,R,C,80,29,18,47,+15,28,0.59,27,38,1,8,1,1,0,4,163,17.8,15:57,48.6
Josh Anderson,2018-19,CBJ,R,R,82,27,20,47,+25,60,0.57,22,37,3,7,2,3,0,5,230,11.7,17:01,31.6
Jakub Vrana,2018-19,WSH,L,L,82,24,23,47,+20,27,0.57,23,43,1,4,0,0,0,4,161,14.9,14:02,40.0
Brandon Saad,2018-19,CHI,L,L,80,23,24,47,-9,12,0.59,15,38,5,6,3,3,0,3,195,11.8,17:41,38.7
Tyler Bertuzzi,2018-19,DET,L,L,73,21,26,47,+11,36,0.64,18,41,3,6,0,0,1,4,131,16.0,16:31,33.3
Mikael Backlund,2018-19,CGY,L,C,77,21,26,47,+34,52,0.61,19,43,1,2,1,2,1,4,205,10.2,17:54,49.6
Andrew Shaw,2018-19,MTL,R,R,63,19,28,47,+17,71,0.75,16,41,3,6,0,0,0,3,135,14.1,15:55,47.1
Nico Hischier,2018-19,NJD,L,C,69,17,30,47,0,24,0.68,14,36,3,11,0,0,3,3,160,10.6,18:06,45.2
Clayton Keller,2018-19,ARI,L,R,82,14,33,47,-21,24,0.57,13,28,1,19,0,0,0,5,200,7.0,18:14,33.3
J.T. Miller,2018-19,TBL,L,C,75,13,34,47,+8,30,0.63,9,27,4,20,0,0,0,4,108,12.0,14:40,49.4
Ryan Suter,2018-19,MIN,L,D,82,7,40,47,-8,41,0.57,3,30,3,15,1,2,0,2,136,5.2,26:42,100.0
David Perron,2018-19,STL,R,L,57,23,23,46,+3,46,0.81,16,32,7,14,0,0,0,1,112,20.5,17:06,45.5
Brett Connolly,2018-19,WSH,R,R,81,22,24,46,+13,24,0.57,21,44,1,2,0,0,0,5,139,15.8,13:20,29.0
Travis Zajac,2018-19,NJD,R,C,80,19,27,46,-25,20,0.58,12,32,5,12,2,2,1,3,120,15.8,19:16,58.2
Jeff Petry,2018-19,MTL,R,D,82,13,33,46,-5,28,0.56,10,34,3,11,0,1,2,4,172,7.6,23:07,0.0
Seth Jones,2018-19,CBJ,R,D,75,9,37,46,+1,28,0.61,9,33,0,10,0,3,3,4,184,4.9,25:49,--
Ryan McDonagh,2018-19,TBL,L,D,82,9,37,46,+38,34,0.56,9,40,0,3,0,3,0,1,128,7.0,22:05,--
Brady Tkachuk,2018-19,OTT,L,L,71,22,23,45,-10,75,0.63,18,35,4,10,0,0,1,3,214,10.3,16:01,49.0
John Klingberg,2018-19,DAL,R,D,64,10,35,45,+6,12,0.70,5,25,5,20,0,0,0,5,153,6.5,24:32,--
Drew Doughty,2018-19,LAK,R,D,82,8,37,45,-34,44,0.55,1,20,7,24,0,1,1,1,154,5.2,26:36,--
Erik Karlsson,2018-19,SJS,R,D,53,3,42,45,+6,22,0.85,1,25,2,20,0,0,0,1,169,1.8,24:29,0.0
Kasperi Kapanen,2018-19,TOR,R,R,78,20,24,44,+12,27,0.56,17,39,1,3,2,2,1,3,174,11.5,16:37,50.0
Nazem Kadri,2018-19,TOR,L,C,73,16,28,44,-2,43,0.60,12,31,4,13,0,0,0,5,184,8.7,16:11,55.2
Oliver Ekman-Larsson,2018-19,ARI,L,D,81,14,30,44,-16,52,0.54,8,22,5,19,1,3,0,2,176,8.0,23:38,--
Zach Werenski,2018-19,CBJ,L,D,82,11,33,44,-12,18,0.54,9,29,2,15,0,0,0,1,168,6.6,22:54,--
Rasmus Dahlin,2018-19,BUF,L,D,82,9,35,44,-13,34,0.54,4,24,5,20,0,0,0,4,177,5.1,21:09,--
Mattias Ekholm,2018-19,NSH,L,D,80,8,36,44,+27,47,0.55,6,35,2,7,0,2,1,3,146,5.5,23:22,--
Jakob Silfverberg,2018-19,ANA,R,R,73,24,19,43,-9,28,0.59,19,29,3,11,2,3,1,4,163,14.7,17:06,37.3
Andreas Johnsson,2018-19,TOR,L,L,73,20,23,43,+14,32,0.59,17,37,3,6,0,0,0,3,130,15.4,13:40,36.8
Rickard Rakell,2018-19,ANA,R,R,69,18,25,43,-13,27,0.62,12,30,6,13,0,0,1,2,194,9.3,18:28,35.4
Jared Spurgeon,2018-19,MIN,R,D,82,14,29,43,-1,20,0.52,10,31,4,11,0,1,0,0,152,9.2,24:09,100.0
Rasmus Ristolainen,2018-19,BUF,R,D,78,5,38,43,-41,38,0.55,4,26,1,17,0,0,1,2,182,2.8,24:38,--
Jake DeBrusk,2018-19,BOS,L,L,68,27,15,42,+2,18,0.62,19,31,8,11,0,0,0,4,156,17.3,16:10,21.1
Jason Zucker,2018-19,MIN,L,L,81,21,21,42,-9,28,0.52,14,28,7,14,0,0,1,5,214,9.8,17:05,15.4
Adam Henrique,2018-19,ANA,L,C,82,18,24,42,-5,24,0.51,10,28,8,13,0,1,0,3,122,14.8,16:27,52.7
Alex Kerfoot,2018-19,COL,L,C,78,15,27,42,-9,38,0.54,11,26,4,16,0,0,0,1,116,12.9,14:53,56.0
Bobby Ryan,2018-19,OTT,R,R,78,15,27,42,-29,35,0.54,8,26,7,16,0,0,0,1,160,9.4,15:41,30.8
Paul Stastny,2018-19,VGK,L,C,50,13,29,42,+14,30,0.84,11,36,1,4,1,2,0,2,103,12.6,18:06,54.7
Cody Eakin,2018-19,VGK,L,C,78,22,19,41,+19,16,0.53,18,34,1,4,3,3,0,3,120,18.3,15:23,51.0
Zach Hyman,2018-19,TOR,R,L,71,21,20,41,+16,65,0.58,20,40,0,0,1,1,0,4,144,14.6,17:17,47.7
Alex Galchenyuk,2018-19,ARI,L,C,72,19,22,41,-19,34,0.57,10,20,9,21,0,0,1,4,159,12.0,15:44,45.7
Bryan Little,2018-19,WPG,R,C,82,15,26,41,-12,26,0.50,11,32,4,7,0,2,1,5,126,11.9,15:50,52.5
Colin White,2018-19,OTT,R,C,71,14,27,41,-24,24,0.58,9,33,5,8,0,0,1,2,123,11.4,16:12,47.4
Alex Pietrangelo,2018-19,STL,R,D,71,13,28,41,+2,22,0.58,10,25,3,15,0,1,0,2,168,7.7,24:05,0.0
Darnell Nurse,2018-19,EDM,L,D,82,10,31,41,-5,87,0.50,9,31,1,9,0,1,1,1,196,5.1,23:49,--
Ryan Ellis,2018-19,NSH,R,D,82,7,34,41,+21,20,0.50,5,35,1,5,1,1,0,2,149,4.7,24:01,--
Tom Wilson,2018-19,WSH,R,R,63,22,18,40,+11,128,0.63,17,33,3,5,2,2,0,2,130,16.9,18:09,54.7
Max Pacioretty,2018-19,VGK,L,L,66,22,18,40,-13,36,0.61,18,32,4,8,0,0,1,5,191,11.5,17:00,39.6
Alex Killorn,2018-19,TBL,L,L,82,18,22,40,+22,45,0.49,15,33,2,5,1,2,1,2,153,11.8,14:52,20.0
Micheal Ferland,2018-19,CAR,L,L,71,17,23,40,+13,58,0.56,11,27,6,13,0,0,0,3,156,10.9,14:06,31.5
Mats Zuccarello,2018-19,"NYR,DAL",L,R,48,12,28,40,-8,24,0.83,9,25,3,15,0,0,0,1,104,11.5,19:51,33.3
Duncan Keith,2018-19,CHI,L,D,82,6,34,40,+13,70,0.49,6,36,0,3,0,1,1,1,141,4.3,23:01,--
Frank Vatrano,2018-19,FLA,L,R,81,24,15,39,-10,38,0.48,22,31,2,8,0,0,0,1,208,11.5,14:40,39.5
Anthony Cirelli,2018-19,TBL,L,C,82,19,20,39,+25,34,0.48,14,32,0,1,5,6,1,5,123,15.5,14:51,52.8
Dougie Hamilton,2018-19,CAR,R,D,82,18,21,39,0,54,0.48,16,32,2,7,0,0,0,2,259,7.0,19:40,0.0
Vinnie Hinostroza,2018-19,ARI,R,C,72,16,23,39,-4,14,0.54,13,34,3,5,0,0,0,3,152,10.5,15:16,37.9
Kevin Fiala,2018-19,"NSH,MIN",L,L,83,13,26,39,-23,36,0.47,11,28,2,11,0,0,0,2,174,7.5,15:38,37.5
Damon Severson,2018-19,NJD,R,D,82,11,28,39,-27,58,0.48,8,26,3,12,0,1,0,0,146,7.5,22:03,--
Alex Chiasson,2018-19,EDM,R,R,73,22,16,38,-1,32,0.52,13,21,8,15,1,2,0,1,123,17.9,16:58,31.8
Pavel Buchnevich,2018-19,NYR,L,L,64,21,17,38,-10,13,0.59,14,26,7,12,0,0,0,1,119,17.7,15:10,28.0
Craig Smith,2018-19,NSH,R,C,76,21,17,38,+11,20,0.50,17,30,4,8,0,0,0,2,205,10.2,15:08,48.2
Boone Jenner,2018-19,CBJ,L,C,77,16,22,38,+6,42,0.49,14,34,1,3,1,1,0,3,170,9.4,17:04,54.1
Derek Ryan,2018-19,CGY,R,C,81,13,25,38,+21,24,0.47,11,27,2,7,0,4,0,1,103,12.6,13:48,58.2
Tyler Bozak,2018-19,STL,R,C,72,13,25,38,-3,20,0.53,11,30,2,8,0,0,0,3,141,9.2,16:21,54.3
Nikolaj Ehlers,2018-19,WPG,L,L,62,21,16,37,+2,15,0.60,19,30,2,7,0,0,0,4,158,13.3,15:46,50.0
Andrei Svechnikov,2018-19,CAR,L,R,82,20,17,37,0,62,0.45,20,32,0,5,0,0,1,3,189,10.6,14:39,14.3
Jordan Eberle,2018-19,NYI,R,R,78,19,18,37,-6,17,0.47,12,25,7,12,0,0,0,5,160,11.9,16:32,45.0
Patric Hornqvist,2018-19,PIT,R,R,69,18,19,37,-3,26,0.54,12,25,6,12,0,0,0,2,197,9.1,15:29,50.0
Patrick Marleau,2018-19,TOR,L,C,82,16,21,37,-6,28,0.45,12,27,4,10,0,0,0,3,161,9.9,16:21,51.2
Artem Anisimov,2018-19,CHI,L,C,78,15,22,37,-2,14,0.47,13,32,1,4,1,1,0,1,142,10.6,16:21,45.7
Joonas Donskoi,2018-19,SJS,R,R,80,14,23,37,+10,10,0.46,13,34,1,3,0,0,0,4,115,12.2,13:25,10.0
Dominik Kahun,2018-19,CHI,L,C,82,13,24,37,+10,6,0.45,12,35,1,2,0,0,0,2,137,9.5,14:09,36.1
Aaron Ekblad,2018-19,FLA,R,D,82,13,24,37,+1,47,0.45,8,27,5,10,0,0,1,1,180,7.2,23:39,--
Shea Theodore,2018-19,VGK,L,D,79,12,25,37,-4,20,0.47,8,27,4,9,0,1,1,1,202,5.9,20:06,100.0
Taylor Hall,2018-19,NJD,L,L,33,11,26,37,-6,16,1.12,10,25,1,12,0,0,0,3,113,9.7,19:41,44.8
Ryan Pulock,2018-19,NYI,R,D,82,9,28,37,+21,22,0.45,6,28,3,9,0,0,1,3,180,5.0,22:22,--
Shayne Gostisbehere,2018-19,PHI,L,D,78,9,28,37,-20,22,0.47,5,23,4,14,0,0,1,2,180,5.0,19:40,--
Jake Muzzin,2018-19,"LAK,TOR",L,D,80,9,28,37,+21,47,0.46,8,31,1,5,0,1,0,1,141,6.4,21:20,--
Oliver Bjorkstrand,2018-19,CBJ,R,R,77,23,13,36,+8,8,0.47,20,33,3,3,0,0,0,1,161,14.3,12:20,38.5
Blake Coleman,2018-19,NJD,L,C,78,22,14,36,-19,71,0.46,16,28,3,3,3,5,0,3,213,10.3,17:01,41.6
