Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,2022-23,EDM,L,C,82,64,89,153,+22,36,1.87,39,75,21,71,4,7,2,11,352,18.2,22:23,51.9
Leon Draisaitl,2022-23,EDM,L,C,80,52,76,128,+7,24,1.60,19,64,32,62,1,2,1,11,247,21.1,21:44,54.9
David Pastrnak,2022-23,BOS,R,R,82,61,52,113,+34,38,1.38,43,76,18,37,0,0,4,13,407,15.0,19:34,42.1
Nikita Kucherov,2022-23,TBL,L,R,82,30,83,113,-2,36,1.38,22,63,8,50,0,0,0,4,271,11.1,20:08,100.0
Nathan MacKinnon,2022-23,COL,R,C,71,42,69,111,+29,30,1.56,30,77,12,34,0,0,2,9,366,11.5,22:19,44.4
Jason Robertson,2022-23,DAL,L,L,82,46,63,109,+37,20,1.33,33,68,13,41,0,0,1,7,313,14.7,18:50,0.0
Matthew Tkachuk,2022-23,FLA,L,L,79,40,69,109,+29,123,1.38,26,72,14,36,0,1,0,6,322,12.4,20:26,44.8
Mikko Rantanen,2022-23,COL,L,R,82,55,50,105,+15,82,1.28,42,68,13,37,0,0,3,9,306,18.0,22:13,49.0
Ryan Nugent-Hopkins,2022-23,EDM,L,C,82,37,67,104,+12,35,1.27,21,47,15,53,1,4,0,3,201,18.4,19:48,45.2
Elias Pettersson,2022-23,VAN,L,C,80,39,63,102,+16,14,1.28,28,68,6,25,5,9,3,6,257,15.2,20:33,44.3
Erik Karlsson,2022-23,SJS,R,D,82,25,76,101,-26,36,1.23,20,74,5,27,0,0,2,4,209,12.0,25:37,0.0
Jack Hughes,2022-23,NJD,L,C,78,43,56,99,+10,6,1.27,34,68,9,31,0,0,1,6,336,12.8,19:58,35.3
Mitchell Marner,2022-23,TOR,R,R,80,30,69,99,+18,28,1.24,17,58,9,36,4,5,2,4,196,15.3,21:17,0.0
Brayden Point,2022-23,TBL,R,C,82,51,44,95,+2,7,1.16,31,65,20,30,0,0,1,9,235,21.7,19:40,50.7
Tage Thompson,2022-23,BUF,R,C,78,47,47,94,+4,39,1.21,26,59,20,34,1,1,1,7,295,15.9,18:35,43.1
Sidney Crosby,2022-23,PIT,L,C,82,33,60,93,+8,52,1.13,24,66,9,27,0,0,1,9,255,12.9,20:09,53.0
Artemi Panarin,2022-23,NYR,R,L,82,29,63,92,+4,36,1.12,20,56,9,36,0,0,1,4,204,14.2,19:36,31.6
Mika Zibanejad,2022-23,NYR,R,C,82,39,52,91,+25,20,1.11,18,50,20,39,1,2,0,5,251,15.5,19:58,49.5
Tim Stützle,2022-23,OTT,L,C,78,39,51,90,-3,54,1.15,26,59,10,28,3,3,1,3,228,17.1,21:16,41.6
William Nylander,2022-23,TOR,R,R,82,40,47,87,+10,28,1.06,31,59,9,28,0,0,3,5,293,13.7,18:33,42.4
Clayton Keller,2022-23,ARI,L,R,82,37,49,86,-2,49,1.05,30,65,6,20,1,1,2,4,223,16.6,20:45,34.9
Auston Matthews,2022-23,TOR,L,C,74,40,45,85,+31,20,1.15,27,57,13,28,0,0,0,8,327,12.2,20:17,52.4
Steven Stamkos,2022-23,TBL,R,C,81,34,50,84,-5,46,1.04,20,49,14,35,0,0,2,6,240,14.2,19:01,53.8
Zach Hyman,2022-23,EDM,R,L,79,36,47,83,+13,39,1.05,21,57,15,26,0,0,0,3,276,13.0,20:09,50.0
Brady Tkachuk,2022-23,OTT,L,L,82,35,48,83,-10,126,1.01,24,54,11,29,0,0,2,6,347,10.1,18:38,48.4
Evgeni Malkin,2022-23,PIT,L,C,82,27,56,83,-12,82,1.01,16,47,11,36,0,0,0,3,240,11.3,18:35,49.3
Jeff Skinner,2022-23,BUF,L,L,79,35,47,82,+15,39,1.04,27,61,8,21,0,0,1,3,242,14.5,17:24,47.3
J.T. Miller,2022-23,VAN,L,C,81,32,50,82,-7,60,1.01,16,43,11,30,5,9,1,3,223,14.4,20:41,55.0
John Tavares,2022-23,TOR,L,C,80,36,44,80,-7,34,1.00,18,41,18,39,0,0,1,9,277,13.0,17:39,58.3
