Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Sidney Crosby,2013-14,PIT,L,C,80,36,68,104,+18,46,1.30,25,66,11,38,0,0,1,5,259,13.9,21:58,52.5
Ryan Getzlaf,2013-14,ANA,R,C,77,31,56,87,+28,31,1.13,26,64,5,23,0,0,1,7,204,15.2,21:17,49.0
Claude Giroux,2013-14,PHI,R,R,82,28,58,86,+7,46,1.05,21,49,7,37,0,0,1,7,223,12.6,20:26,52.9
Tyler Seguin,2013-14,DAL,R,C,80,37,47,84,+16,18,1.05,26,59,11,25,0,0,0,8,294,12.6,19:21,41.5
Corey Perry,2013-14,ANA,R,R,81,43,39,82,+32,65,1.01,35,64,8,18,0,0,1,9,280,15.4,19:29,36.0
Phil Kessel,2013-14,TOR,R,R,82,37,43,80,-5,27,0.98,29,60,8,20,0,0,0,6,305,12.1,20:40,14.3
Taylor Hall,2013-14,EDM,L,L,75,27,53,80,-15,44,1.07,20,62,7,17,0,1,1,1,250,10.8,20:01,45.7
Alex Ovechkin,2013-14,WSH,R,L,78,51,28,79,-35,48,1.01,27,39,24,39,0,1,3,10,386,13.2,20:33,66.7
Joe Pavelski,2013-14,SJS,R,C,82,41,38,79,+23,32,0.96,24,46,16,31,1,2,0,3,225,18.2,19:51,56.0
Jamie Benn,2013-14,DAL,L,L,81,34,45,79,+21,64,0.98,28,57,5,19,1,3,1,3,279,12.2,19:09,52.8
Nicklas Backstrom,2013-14,WSH,L,C,82,18,61,79,-20,54,0.96,11,34,6,44,1,1,0,1,196,9.2,19:48,50.5
Patrick Sharp,2013-14,CHI,R,L,82,34,44,78,+13,40,0.95,24,53,10,25,0,0,1,3,313,10.9,18:53,54.6
Joe Thornton,2013-14,SJS,L,C,82,11,65,76,+20,32,0.93,9,56,2,19,0,1,1,3,122,9.0,18:56,56.1
Erik Karlsson,2013-14,OTT,R,D,82,20,54,74,-15,36,0.90,15,43,5,31,0,0,0,1,257,7.8,27:04,--
Evgeni Malkin,2013-14,PIT,L,C,60,23,49,72,+10,62,1.20,16,42,7,30,0,0,0,3,191,12.0,20:04,48.8
Patrick Marleau,2013-14,SJS,L,C,82,33,37,70,0,18,0.85,20,45,11,23,2,2,0,4,285,11.6,20:31,52.9
Anze Kopitar,2013-14,LAK,L,C,82,29,41,70,+34,24,0.85,19,47,10,23,0,0,2,9,200,14.5,20:53,53.3
Matt Duchene,2013-14,COL,L,C,71,23,47,70,+8,19,0.99,18,53,5,17,0,0,1,6,217,10.6,18:30,50.3
Martin St. Louis,2013-14,"TBL,NYR",L,R,81,30,39,69,+13,10,0.85,20,46,9,21,1,2,1,5,204,14.7,20:56,40.7
Patrick Kane,2013-14,CHI,L,R,69,29,40,69,+7,22,1.00,19,44,10,25,0,0,0,6,227,12.8,19:37,50.0
Blake Wheeler,2013-14,WPG,R,R,82,28,41,69,+4,63,0.84,20,50,8,19,0,0,2,4,225,12.4,18:41,37.5
Kyle Okposo,2013-14,NYI,R,R,71,27,42,69,-9,51,0.97,22,54,5,15,0,0,1,4,195,13.9,20:26,47.6
David Krejci,2013-14,BOS,R,C,80,19,50,69,+39,28,0.86,16,50,3,19,0,0,1,6,169,11.2,19:07,51.2
Chris Kunitz,2013-14,PIT,L,L,78,35,33,68,+25,66,0.87,22,46,13,22,0,0,0,8,218,16.1,19:09,75.0
Jonathan Toews,2013-14,CHI,L,C,76,28,40,68,+26,34,0.89,20,48,5,15,3,5,0,5,193,14.5,20:28,57.3
Thomas Vanek,2013-14,"BUF,NYI,MTL",R,L,78,27,41,68,+7,48,0.87,19,50,8,18,0,0,0,4,248,10.9,19:21,43.5
Jaromir Jagr,2013-14,NJD,L,R,82,24,43,67,+16,46,0.82,19,50,5,17,0,0,1,6,231,10.4,19:10,0.0
John Tavares,2013-14,NYI,L,C,59,24,42,66,-6,40,1.12,16,41,8,25,0,0,0,4,188,12.8,21:15,49.1
Jason Spezza,2013-14,OTT,R,C,75,23,43,66,-26,46,0.88,14,44,9,22,0,0,0,5,223,10.3,18:13,54.0
