Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Connor McDavid,2020-21,EDM,L,C,56,33,72,105,+21,20,1.88,24,68,9,37,0,0,2,11,200,16.5,22:09,49.5
Leon Draisaitl,2020-21,EDM,L,C,56,31,53,84,+29,22,1.50,15,51,15,32,1,1,0,8,168,18.5,22:11,55.7
Brad Marchand,2020-21,BOS,L,L,53,29,40,69,+26,46,1.30,21,44,4,18,4,7,1,5,143,20.3,18:55,31.4
Mitchell Marner,2020-21,TOR,R,R,55,20,47,67,+21,20,1.22,20,51,0,14,0,2,0,5,156,12.8,22:26,80.0
Auston Matthews,2020-21,TOR,L,C,52,41,25,66,+21,10,1.27,31,53,10,13,0,0,2,12,222,18.5,21:33,51.9
Mikko Rantanen,2020-21,COL,L,R,52,30,36,66,+30,34,1.27,21,42,9,24,0,0,0,7,177,17.0,19:55,50.0
Patrick Kane,2020-21,CHI,L,R,56,15,51,66,-7,14,1.18,12,44,3,22,0,0,0,3,191,7.9,22:14,28.6
Nathan MacKinnon,2020-21,COL,R,C,48,20,45,65,+22,37,1.35,12,40,8,25,0,0,0,2,206,9.7,20:22,48.5
Mark Scheifele,2020-21,WPG,R,C,56,21,42,63,-4,12,1.13,17,46,4,17,0,0,0,4,126,16.7,20:58,49.8
Sidney Crosby,2020-21,PIT,L,C,55,24,38,62,+8,26,1.13,18,39,5,22,1,1,2,5,159,15.1,20:24,53.6
Mark Stone,2020-21,VGK,R,R,55,21,40,61,+26,28,1.11,14,43,6,17,1,1,0,8,98,21.4,19:04,40.0
Jonathan Huberdeau,2020-21,FLA,L,C,55,20,41,61,+12,36,1.11,15,37,5,24,0,0,1,1,122,16.4,18:25,43.6
Aleksander Barkov,2020-21,FLA,L,C,50,26,32,58,+12,14,1.16,18,38,7,19,1,1,2,6,176,14.8,20:56,54.9
David Perron,2020-21,STL,R,L,56,19,39,58,+6,22,1.04,13,37,6,21,0,0,1,2,151,12.6,18:33,0.0
Artemi Panarin,2020-21,NYR,R,L,42,17,41,58,+14,6,1.38,12,40,5,18,0,0,0,1,106,16.0,19:39,0.0
Sebastian Aho,2020-21,CAR,L,C,56,24,33,57,+16,32,1.02,14,36,7,18,3,3,1,7,148,16.2,19:28,52.8
Jake Guentzel,2020-21,PIT,L,L,56,23,34,57,+7,28,1.02,17,38,6,18,0,1,1,7,141,16.3,20:16,25.0
Alex DeBrincat,2020-21,CHI,R,R,52,32,24,56,+3,12,1.08,22,37,9,18,1,1,3,7,155,20.7,20:32,40.0
Ryan O'Reilly,2020-21,STL,L,C,56,24,30,54,+26,18,0.96,18,40,4,12,2,2,2,4,129,18.6,20:45,58.8
Nicklas Backstrom,2020-21,WSH,L,C,55,15,38,53,0,14,0.96,10,31,5,22,0,0,0,0,91,16.5,18:36,48.3
Gabriel Landeskog,2020-21,COL,L,L,54,20,32,52,+14,34,0.96,11,37,9,15,0,0,2,8,155,12.9,19:57,56.6
Kirill Kaprizov,2020-21,MIN,L,L,55,27,24,51,+10,16,0.93,19,38,8,13,0,0,2,3,157,17.2,18:18,12.5
Joe Pavelski,2020-21,DAL,R,C,56,25,26,51,+22,16,0.91,12,30,13,21,0,0,0,4,139,18.0,19:01,52.0
Max Pacioretty,2020-21,VGK,L,L,48,24,27,51,+20,14,1.06,18,39,6,12,0,0,4,6,174,13.8,17:56,46.5
Kyle Connor,2020-21,WPG,L,L,56,26,24,50,-4,12,0.89,16,37,10,13,0,0,0,5,166,15.7,18:44,60.0
Mika Zibanejad,2020-21,NYR,R,C,56,24,26,50,+2,18,0.89,12,32,10,14,2,4,1,7,171,14.0,20:06,46.3
John Tavares,2020-21,TOR,L,C,56,19,31,50,+12,14,0.89,13,38,6,12,0,0,0,2,163,11.7,18:12,55.3
Anze Kopitar,2020-21,LAK,L,C,56,13,37,50,-7,10,0.89,10,27,3,23,0,0,0,4,118,11.0,21:11,57.3
Brock Boeser,2020-21,VAN,R,R,56,23,26,49,-3,16,0.88,14,34,8,14,1,1,0,1,141,16.3,19:19,36.4
Evander Kane,2020-21,SJS,L,L,56,22,27,49,-1,42,0.88,17,38,3,7,2,4,1,2,194,11.3,20:12,40.4
Johnny Gaudreau,2020-21,CGY,L,L,56,19,30,49,+2,6,0.88,12,30,7,19,0,0,2,5,112,17.0,18:25,0.0
Ryan Strome,2020-21,NYR,R,C,56,14,35,49,+6,39,0.88,11,29,3,18,0,2,0,1,128,10.9,18:16,43.2
Brayden Point,2020-21,TBL,R,C,56,23,25,48,+2,11,0.86,17,33,6,15,0,0,1,6,131,17.6,18:26,49.4
Patrice Bergeron,2020-21,BOS,R,C,54,23,25,48,+27,16,0.89,13,31,7,13,3,4,1,3,182,12.6,18:13,62.3
David Pastrnak,2020-21,BOS,R,R,48,20,28,48,+10,24,1.00,14,34,6,14,0,0,0,3,176,11.4,18:37,28.6
Pavel Buchnevich,2020-21,NYR,L,L,54,20,28,48,+12,42,0.89,16,36,1,8,3,4,0,2,120,16.7,18:44,22.2
Tyson Barrie,2020-21,EDM,R,D,56,8,40,48,+4,10,0.86,4,25,4,23,0,0,0,2,146,5.5,21:24,--
Elias Lindholm,2020-21,CGY,R,C,56,19,28,47,+10,22,0.84,13,30,6,16,0,1,1,4,130,14.6,19:54,51.4
Adam Fox,2020-21,NYR,R,D,55,5,42,47,+19,14,0.85,2,22,2,23,1,2,0,1,102,4.9,24:42,0.0
Nikolaj Ehlers,2020-21,WPG,L,L,47,21,25,46,+15,15,0.98,15,33,6,13,0,0,2,5,148,14.2,16:55,100.0
J.T. Miller,2020-21,VAN,L,C,53,15,31,46,-7,43,0.87,11,27,3,18,1,1,2,4,106,14.2,20:58,53.0
Ondrej Palat,2020-21,TBL,L,L,55,15,31,46,+1,26,0.84,8,26,7,20,0,0,0,6,111,13.5,17:27,0.0
Blake Wheeler,2020-21,WPG,R,R,50,15,31,46,-17,50,0.92,11,31,4,15,0,0,0,2,113,13.3,18:20,37.5
Jason Robertson,2020-21,DAL,L,L,51,17,28,45,+13,16,0.88,16,39,1,6,0,0,1,3,127,13.4,16:53,71.4
Mathew Barzal,2020-21,NYI,R,C,55,17,28,45,+15,48,0.82,16,37,1,8,0,0,0,1,134,12.7,18:43,43.4
Victor Hedman,2020-21,TBL,L,D,54,9,36,45,+5,28,0.83,8,21,1,24,0,0,2,2,136,6.6,25:03,--
Kris Letang,2020-21,PIT,R,D,55,7,38,45,+19,32,0.82,6,29,1,15,0,1,1,2,132,5.3,24:39,0.0
Tyler Toffoli,2020-21,MTL,R,R,52,28,16,44,0,24,0.85,19,31,7,10,2,3,0,5,158,17.7,17:31,38.9
Andre Burakovsky,2020-21,COL,L,L,53,19,25,44,+4,10,0.83,15,30,4,14,0,0,1,3,102,18.6,15:06,50.0
Oliver Bjorkstrand,2020-21,CBJ,R,R,56,18,26,44,-15,23,0.79,16,38,2,6,0,0,0,0,143,12.6,17:37,42.9
Jonathan Marchessault,2020-21,VGK,R,R,55,18,26,44,+19,39,0.80,15,38,3,6,0,0,2,4,176,10.2,17:25,46.6
John Carlson,2020-21,WSH,R,D,52,10,34,44,-5,12,0.85,7,29,3,15,0,0,0,1,128,7.8,23:47,--
Cale Makar,2020-21,COL,R,D,44,8,36,44,+17,12,1.00,4,22,4,22,0,0,0,3,104,7.7,24:19,--
David Krejci,2020-21,BOS,R,C,51,8,36,44,+16,16,0.86,5,28,3,16,0,0,0,1,83,9.6,17:08,54.2
T.J. Oshie,2020-21,WSH,R,R,53,22,21,43,-3,18,0.81,9,26,13,17,0,0,0,1,106,20.8,18:04,47.9
Phil Kessel,2020-21,ARI,R,R,56,20,23,43,-17,12,0.77,16,30,4,13,0,0,1,3,115,17.4,17:05,25.0
Tomas Hertl,2020-21,SJS,L,C,50,19,24,43,+1,27,0.86,14,32,4,10,1,1,0,2,112,17.0,19:08,55.2
Vincent Trocheck,2020-21,CAR,R,C,47,17,26,43,-3,20,0.91,10,25,7,18,0,0,0,2,123,13.8,18:14,56.1
James van Riemsdyk,2020-21,PHI,L,L,56,17,26,43,+2,14,0.77,7,31,10,12,0,0,0,1,132,12.9,16:33,50.0
Matthew Tkachuk,2020-21,CGY,L,L,56,16,27,43,+6,55,0.77,12,28,4,15,0,0,0,0,151,10.6,18:09,42.9
Claude Giroux,2020-21,PHI,R,R,54,16,27,43,-4,12,0.80,15,32,1,11,0,0,0,2,120,13.3,18:06,59.6
