Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
Patrick Kane,2015-16,CHI,L,R,82,46,60,106,+17,30,1.29,29,69,17,37,0,0,1,9,287,16.0,20:25,21.6
Jamie Benn,2015-16,DAL,L,L,82,41,48,89,+7,64,1.09,22,54,17,30,2,5,1,5,247,16.6,20:01,47.3
Sidney Crosby,2015-16,PIT,L,C,80,36,49,85,+19,42,1.06,26,61,10,24,0,0,2,9,248,14.5,20:28,51.7
Joe Thornton,2015-16,SJS,L,C,82,19,63,82,+25,54,1.00,11,53,8,29,0,0,0,6,121,15.7,18:22,53.0
Erik Karlsson,2015-16,OTT,R,D,82,16,66,82,-2,50,1.00,15,56,1,26,0,0,2,3,248,6.5,28:58,0.0
Joe Pavelski,2015-16,SJS,R,C,82,38,40,78,+25,30,0.95,26,50,12,28,0,0,1,11,224,17.0,19:49,55.0
Johnny Gaudreau,2015-16,CGY,L,L,79,30,48,78,+4,20,0.99,24,57,6,21,0,0,3,6,217,13.8,19:56,40.0
Blake Wheeler,2015-16,WPG,R,R,82,26,52,78,+8,49,0.95,21,57,3,17,2,4,2,5,256,10.2,19:47,35.7
Artemi Panarin,2015-16,CHI,R,L,80,30,47,77,+8,32,0.96,22,53,8,24,0,0,1,7,187,16.0,18:31,--
Evgeny Kuznetsov,2015-16,WSH,L,C,82,20,57,77,+27,32,0.94,15,59,5,18,0,0,2,4,193,10.4,17:25,47.8
Brent Burns,2015-16,SJS,R,D,82,27,48,75,-5,53,0.91,19,43,7,30,1,2,1,4,353,7.7,25:52,100.0
Vladimir Tarasenko,2015-16,STL,L,R,80,40,34,74,+7,37,0.93,28,50,12,24,0,0,2,7,292,13.7,18:38,0.0
Anze Kopitar,2015-16,LAK,L,C,81,25,49,74,+34,16,0.91,19,53,5,18,1,3,4,8,177,14.1,20:52,53.5
Tyler Seguin,2015-16,DAL,R,C,72,33,40,73,+2,16,1.01,26,49,7,24,0,0,1,6,278,11.9,19:27,55.6
Alex Ovechkin,2015-16,WSH,R,L,79,50,21,71,+21,53,0.90,31,47,19,24,0,0,2,8,398,12.6,20:19,--
John Tavares,2015-16,NYI,L,C,78,33,37,70,+6,38,0.90,26,51,7,19,0,0,0,5,250,13.2,20:00,54.1
Nicklas Backstrom,2015-16,WSH,L,C,75,20,50,70,+17,36,0.93,17,40,3,30,0,0,0,4,129,15.5,19:11,48.6
Patrice Bergeron,2015-16,BOS,R,C,80,32,36,68,+12,49,0.85,19,40,12,25,1,3,0,6,282,11.4,19:50,57.1
Claude Giroux,2015-16,PHI,R,R,78,22,45,67,-8,53,0.86,15,38,6,27,1,2,2,5,241,9.1,20:33,57.5
Kris Letang,2015-16,PIT,R,D,71,16,51,67,+9,66,0.94,11,37,5,27,0,3,1,2,218,7.3,26:57,--
Nikita Kucherov,2015-16,TBL,L,R,77,30,36,66,+9,30,0.86,21,41,9,25,0,0,1,4,209,14.4,18:13,0.0
Jaromir Jagr,2015-16,FLA,L,R,79,27,39,66,+23,48,0.84,22,55,5,11,0,0,0,4,143,18.9,17:05,0.0
Taylor Hall,2015-16,EDM,L,L,82,26,39,65,-4,54,0.79,22,53,4,12,0,0,1,6,286,9.1,19:12,35.9
Steven Stamkos,2015-16,TBL,R,C,77,36,28,64,+3,38,0.83,21,38,14,23,1,3,0,8,216,16.7,19:45,50.0
Filip Forsberg,2015-16,NSH,R,L,82,33,31,64,+1,47,0.78,24,40,8,23,1,1,0,3,247,13.4,19:03,22.2
Max Pacioretty,2015-16,MTL,L,L,82,30,34,64,-10,34,0.78,21,46,8,17,1,1,0,6,303,9.9,18:32,46.2
Kyle Okposo,2015-16,NYI,R,R,79,22,42,64,-4,51,0.81,15,41,7,23,0,0,2,4,202,10.9,18:12,36.5
Jason Spezza,2015-16,DAL,R,C,75,33,30,63,+4,22,0.84,24,39,9,24,0,0,0,7,202,16.3,16:31,54.8
Loui Eriksson,2015-16,BOS,L,L,82,30,33,63,+13,12,0.77,18,43,10,17,2,3,1,5,184,16.3,19:29,57.1
Sean Monahan,2015-16,CGY,L,C,81,27,36,63,-6,18,0.78,20,43,7,20,0,0,1,5,197,13.7,19:10,51.0
David Krejci,2015-16,BOS,R,C,72,17,46,63,+4,32,0.88,13,42,4,18,0,3,0,3,143,11.9,20:18,50.1
Ryan Getzlaf,2015-16,ANA,R,C,77,13,50,63,+14,55,0.82,7,40,6,22,0,1,1,5,178,7.3,19:30,49.4
Corey Perry,2015-16,ANA,R,R,82,34,28,62,+2,68,0.76,22,38,12,24,0,0,0,6,215,15.8,17:42,20.0
Jeff Carter,2015-16,LAK,R,C,77,24,38,62,+18,20,0.81,19,48,4,12,1,2,3,6,242,9.9,18:23,48.7
Brad Marchand,2015-16,BOS,L,L,77,37,24,61,+21,90,0.79,27,47,6,8,4,6,2,6,250,14.8,18:36,37.5
Mark Scheifele,2015-16,WPG,R,C,71,29,32,61,+16,48,0.86,22,50,7,11,0,0,1,3,194,15.0,18:33,44.2
Daniel Sedin,2015-16,VAN,L,L,82,28,33,61,+7,36,0.74,20,41,8,19,0,1,1,6,258,10.9,18:20,26.3
Mats Zuccarello,2015-16,NYR,L,R,81,26,35,61,+2,34,0.75,19,43,7,18,0,0,1,4,166,15.7,18:29,45.5
Mark Stone,2015-16,OTT,R,R,75,23,38,61,-4,38,0.81,17,43,5,15,1,3,1,1,151,15.2,20:07,42.1
Roman Josi,2015-16,NSH,L,D,81,14,47,61,-3,43,0.75,7,35,6,24,1,2,1,3,198,7.1,25:29,--
Wayne Simmonds,2015-16,PHI,R,R,81,32,28,60,-7,147,0.74,19,39,13,21,0,0,0,5,229,14.0,17:14,71.4
